PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FACO2M,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML
829.5757721,C45 D5 H74 O10 N1 P1 ,PS,39,4,0,PSd5 39:4:0,-0.39,1376413.3,1401880.7,1319442,269.248605,17,0,0,748245,927390.6,810230.1,331.2635383,22,4,-2.16,237081,312340,257198.9,287.2741635,4797.4,5232.5,0
#NCE,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
795.591743,C42 D5 H76 O10 N1 P1 ,PC,33,1,0,PCd5 33:1:0,0,4877652.5,5053404.6,4694391.9,269.248605,17,0,0,1455620.6,1539214.1,1434053.4,253.2172685,16,1,-0.14,3156443.7,3689746.3,3390310.8,None, None, None, None
823.6229727,C44 D5 H80 O10 N1 P1 ,PC,35,1,0,PCd5 35:1:0,-0.09,6951177.8,7230788.6,6628679.2,281.2483812,18,1,-0.8,4965309.5,5732583.5,4718415.6,269.248605,17,0,0,2016385.3,2331943.4,1904209.7,None, None, None, None
847.6223013,C46 D5 H80 O10 N1 P1 ,PC,37,3,0,PCd5 37:3:0,-0.88,4574151.1,4726187.5,4350837.2,305.2481574,20,3,-1.47,2541680.4,2797615.6,2660533.1,269.248605,17,0,0,1422510.5,1566490.5,1388163.1,None, None, None, None
873.6376618,C48 D5 H82 O10 N1 P1 ,PC,39,4,0,PCd5 39:4:0,-1.18,2187572.9,2268073.3,2068244.4,331.2635586,22,4,-2.1,893552.7,931873.9,936976.9,269.248605,17,0,0,689901.8,673785.1,688925.5,None, None, None, None
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
847.6223013,C46 D5 H80 O10 N1 P1 ,PC,37,3,0,PC 37:3:0,-0.88,4574151.1,4726187.5,4350837.2,269.248605,17,0,0,1422510.5,1566490.5,1388163.1,305.2481574,20,3,-1.47,2541680.4,2797615.6,2660533.1,261.2587979,20569,21887.3,18561.2
873.6376618,C48 D5 H82 O10 N1 P1 ,PC,39,4,0,PC 39:4:0,-1.18,2187572.9,2268073.3,2068244.4,269.248605,17,0,0,689901.8,673785.1,688925.5,331.2635586,22,4,-2.1,893552.7,931873.9,936976.9,287.2742398,38387.9,42862.3,44629.1
###,PEfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.508013,C36 D5 H64 O8 N1 P1 ,PE,31,1,0,PEd5 31:1:0,0,1782642.5,1842955.9,1747249,225.1859168,14,1,-0.39,1118670.1,1159540.3,1083548.1,269.248605,17,0,0,508045.7,530443.3,487532.6,None, None, None, None
707.5393638,C38 D5 H68 O8 N1 P1 ,PE,33,1,0,PEd5 33:1:0,0.07,3044625.5,3182849.1,2954947.4,253.2172838,16,1,-0.08,1988197.1,2145412,2226995.6,269.248605,17,0,0,844135.7,901019.9,945465.3,None, None, None, None
