PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PS_FTMSMS-_1.mzXML,PRI:240116_PS_FTMSMS-_2.mzXML,PRI:240116_PS_FTMSMS-_3.mzXML,PRI:240116_PS_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PS_FTMSMS-_1.mzXML,FA1I:240116_PS_FTMSMS-_2.mzXML,FA1I:240116_PS_FTMSMS-_3.mzXML,FA1I:240116_PS_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PS_FTMSMS-_1.mzXML,FA2I:240116_PS_FTMSMS-_2.mzXML,FA2I:240116_PS_FTMSMS-_3.mzXML,FA2I:240116_PS_FTMSMS-_4.mzXML,FACO1M,FACO1I:240116_PS_FTMSMS-_1.mzXML,FACO1I:240116_PS_FTMSMS-_2.mzXML,FACO1I:240116_PS_FTMSMS-_3.mzXML,FACO1I:240116_PS_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PS_FTMSMS-_1.mzXML,FACO2I:240116_PS_FTMSMS-_2.mzXML,FACO2I:240116_PS_FTMSMS-_3.mzXML,FACO2I:240116_PS_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PSFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800.5455983,H79 C43 N1 O10 P1 ,PS,37,2,0,PS 37:2:0,1.11,156370.1,152494.6,204884.5,240728.5,281.2488022,18,1,0.7,48670.7,52148,65781.2,68001.9,295.2643738,19,1,0.4,42829.4,46187.9,58745.2,60507.4,None, None, None, None, None,None, None, None, None, None
800.5455983,H79 C43 N1 O10 P1 ,PS,37,2,0,PS 37:2:0,1.11,156370.1,152494.6,204884.5,240728.5,283.2644653,18,0,0.74,9879.5,10141.2,12874.7,13619.5,293.24897,19,2,1.24,2192.6,2795.4,2964.7,2382.9,None, None, None, None, None,None, None, None, None, None
802.5610554,H81 C43 N1 O10 P1 ,PS,37,1,0,PS 37:1:0,0.87,504194.4,550576,685562.5,796666.6,269.2488861,17,0,1.04,16052.8,16610,20544.9,21326.2,309.2801666,20,1,0.84,6464.5,6489.3,7185.6,7889,None, None, None, None, None,None, None, None, None, None
802.5610554,H81 C43 N1 O10 P1 ,PS,37,1,0,PS 37:1:0,0.87,504194.4,550576,685562.5,796666.6,281.2487869,18,1,0.65,77084.8,79101.5,98430.2,105306.4,297.2800217,19,0,0.39,72949.7,70054.9,92488.6,88335.3,None, None, None, None, None,None, None, None, None, None
802.5610554,H81 C43 N1 O10 P1 ,PS,37,1,0,PS 37:1:0,0.87,504194.4,550576,685562.5,796666.6,283.2644577,18,0,0.71,138304.5,148766.4,184501.1,198911.3,295.2643585,19,1,0.35,32084.4,30294.8,37020.3,43910.5,None, None, None, None, None,None, None, None, None, None
804.5768636,H83 C43 N1 O10 P1 ,PS,37,0,0,PS 37:0:0,1.06,90107.8,87619.1,120579.8,121534.7,283.2644424,18,0,0.66,27243.5,27441.9,31769.4,32286.4,297.2800369,19,0,0.44,-1.7,-1.7,-1.7,-1.7,None, None, None, None, None,None, None, None, None, None
806.4989064,H73 C44 N1 O10 P1 ,PS,38,6,0,PS 38:6:0,1.42,137681.6,159146.2,204618,257128.6,253.2174339,16,1,0.51,1114.5,1373.8,1390.8,1421.2,329.2489777,22,5,1.13,436.5,476.9,714.9,793,None, None, None, None, None,None, None, None, None, None
806.4989064,H73 C44 N1 O10 P1 ,PS,38,6,0,PS 38:6:0,1.42,137681.6,159146.2,204618,257128.6,255.2330399,16,0,0.33,88440.1,95473.3,123379.1,126029.9,327.2332077,22,6,0.77,22129,22868.1,29415.9,30939,None, None, None, None, None,None, None, None, None, None
806.4989064,H73 C44 N1 O10 P1 ,PS,38,6,0,PS 38:6:0,1.42,137681.6,159146.2,204618,257128.6,279.2331238,18,2,0.6,3879.5,4111.8,5540.2,6008.1,303.2332001,20,4,0.81,864.8,903,1153.9,1019.2,None, None, None, None, None,None, None, None, None, None
808.5133717,H75 C44 N1 O10 P1 ,PS,38,5,0,PS 38:5:0,-0.05,571030.5,592539.6,818631.8,990865,255.2330666,16,0,0.44,77712.9,85683.9,112123.4,104411.6,329.2488556,22,5,0.76,25039.6,22091.2,30283.7,33985.3,None, None, None, None, None,None, None, None, None, None
808.5133717,H75 C44 N1 O10 P1 ,PS,38,5,0,PS 38:5:0,-0.05,571030.5,592539.6,818631.8,990865,281.2487793,18,1,0.62,339150.1,348777.6,494162.6,474893.8,303.2331238,20,4,0.56,52814.1,56206.9,75385.7,76845.4,None, None, None, None, None,None, None, None, None, None
810.5287984,H77 C44 N1 O10 P1 ,PS,38,4,0,PS 38:4:0,-0.32,5204182.8,5641795.5,7676399.6,8582330.6,255.2330475,16,0,0.36,59461.4,36584,63752.7,50900.3,331.2644043,22,4,0.45,35452.9,0,0,0,None, None, None, None, None,None, None, None, None, None
810.5287984,H77 C44 N1 O10 P1 ,PS,38,4,0,PS 38:4:0,-0.32,5204182.8,5641795.5,7676399.6,8582330.6,281.2487793,18,1,0.62,468366.2,463851.1,776721.5,694652,305.2488556,20,3,0.82,37187.8,51671.8,63734.5,68024.4,None, None, None, None, None,None, None, None, None, None
810.5287984,H77 C44 N1 O10 P1 ,PS,38,4,0,PS 38:4:0,-0.32,5204182.8,5641795.5,7676399.6,8582330.6,283.2644577,18,0,0.71,2484419.4,2554240.2,3467772.8,3515800.9,303.2331085,20,4,0.51,540304.4,592614.4,683063.6,746778.8,None, None, None, None, None,None, None, None, None, None
812.5456898,H79 C44 N1 O10 P1 ,PS,38,3,0,PS 38:3:0,1.21,1589301.9,1727551,2144865.7,2511844.9,281.2487869,18,1,0.65,114399.3,112307.1,169848.2,160510.9,307.2644501,20,2,0.63,103212.7,103522.9,126720,145815.1,None, None, None, None, None,None, None, None, None, None
812.5456898,H79 C44 N1 O10 P1 ,PS,38,3,0,PS 38:3:0,1.21,1589301.9,1727551,2144865.7,2511844.9,283.2644501,18,0,0.69,660765.8,697966.5,947304.1,1016478.5,305.248764,20,3,0.52,262756.2,311832.5,363814.7,373460.6,None, None, None, None, None,None, None, None, None, None
820.5142567,H75 C45 N1 O10 P1 ,PS,39,6,0,PS 39:6:0,1.03,29312,27802.9,0,0,269.2488709,17,0,0.99,14274,15325.2,19991.6,20876.1,327.2332077,22,6,0.77,4036.1,3685.7,4701.7,5267.5,None, None, None, None, None,None, None, None, None, None
822.5298207,H77 C45 N1 O10 P1 ,PS,39,5,0,PS 39:5:0,0.93,23660.2,0,34297.3,43214.1,267.233139,17,1,0.69,527.3,429,629.6,498.6,331.2645111,22,4,0.77,585.2,587.8,760.1,874,None, None, None, None, None,None, None, None, None, None
822.5298207,H77 C45 N1 O10 P1 ,PS,39,5,0,PS 39:5:0,0.93,23660.2,0,34297.3,43214.1,269.2488785,17,0,1.01,9553.7,10621.9,13752,13444.3,329.2488937,22,5,0.88,3136,2968.9,4516.5,4233.8,None, None, None, None, None,None, None, None, None, None
822.5298207,H77 C45 N1 O10 P1 ,PS,39,5,0,PS 39:5:0,0.93,23660.2,0,34297.3,43214.1,283.264473,18,0,0.77,5519,6024.6,6633,7663.1,315.2330017,21,5,0.15,0,0,432,0,None, None, None, None, None,None, None, None, None, None
822.5298207,H77 C45 N1 O10 P1 ,PS,39,5,0,PS 39:5:0,0.93,23660.2,0,34297.3,43214.1,295.2643967,19,1,0.48,3417.7,3326.9,4726.1,4667.1,303.2331314,20,4,0.58,805.6,773.6,921,1376.6,None, None, None, None, None,None, None, None, None, None
824.5459645,H79 C45 N1 O10 P1 ,PS,39,4,0,PS 39:4:0,1.52,70028.6,88195.1,105018.6,116838.8,269.2488785,17,0,1.01,13671,15083.5,19679,22210.2,331.2645493,22,4,0.89,7841.8,6794.5,8326,9208.9,None, None, None, None, None,None, None, None, None, None
824.5459645,H79 C45 N1 O10 P1 ,PS,39,4,0,PS 39:4:0,1.52,70028.6,88195.1,105018.6,116838.8,281.2487869,18,1,0.65,135249.3,132185.3,210155.6,198070.5,319.2644272,21,3,0.54,2953.1,2800,4239.9,4900.3,None, None, None, None, None,None, None, None, None, None
824.5459645,H79 C45 N1 O10 P1 ,PS,39,4,0,PS 39:4:0,1.52,70028.6,88195.1,105018.6,116838.8,283.2644501,18,0,0.69,25629,28563,40471.3,35985.9,317.2487488,21,4,0.45,0,1036.2,0,0,None, None, None, None, None,None, None, None, None, None
824.5459645,H79 C45 N1 O10 P1 ,PS,39,4,0,PS 39:4:0,1.52,70028.6,88195.1,105018.6,116838.8,297.2800598,19,0,0.52,6348,7080.5,8668.9,7738.9,303.2331772,20,4,0.73,5266.6,5231.8,6149.2,7123.3,None, None, None, None, None,None, None, None, None, None
826.5613148,H81 C45 N1 O10 P1 ,PS,39,3,0,PS 39:3:0,1.16,110695,111864.4,143543.6,169341.3,283.2644577,18,0,0.71,653664.7,669813.7,961917.8,990167.2,319.2644196,21,3,0.51,17014.8,17322,22425.6,23651.7,None, None, None, None, None,None, None, None, None, None
830.4970041,H73 C46 N1 O10 P1 ,PS,40,8,0,PS 40:8:0,-0.91,26803.9,0,42400.7,51434.9,279.2330933,18,2,0.49,1982.4,2390.7,3309.6,3282.6,327.2331696,22,6,0.65,1802.6,1934.1,0,0,None, None, None, None, None,None, None, None, None, None
830.4970041,H73 C46 N1 O10 P1 ,PS,40,8,0,PS 40:8:0,-0.91,26803.9,0,42400.7,51434.9,303.2331314,20,4,0.58,4314.6,4262.4,6351.1,5365.5,303.2331314,20,4,0.58,4314.6,4262.4,6351.1,5365.5,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,253.2173615,16,1,0.22,0,585.2,0,0,353.3426819,23,0,0.5,0,493.4,0,0,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,267.2332459,17,1,1.09,0,1198,0,3032.5,339.3269653,22,0,0.32,0,1400.7,1531.5,0,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,269.2488861,17,0,1.04,2216.6,2032,1803.4,2212.2,337.3114014,22,1,0.58,0,744.9,0,0,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,281.2487946,18,1,0.67,90132.4,100851.6,120248,130600.6,325.311409,21,0,0.63,43136.7,44867.2,56957.1,59336.7,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,283.2644577,18,0,0.71,54480.7,66353.7,89004.4,131219.1,323.295723,21,1,0.52,8999.2,10882.9,13738.3,13978.8,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,295.2643433,19,1,0.3,0,304,0,0,311.2957764,20,0,0.71,0,844.7,0,0,None, None, None, None, None,None, None, None, None, None
830.5929921,H85 C45 N1 O10 P1 ,PS,39,1,0,PS 39:1:0,1.6,165960.1,193223.7,248773.8,277929.7,297.2800446,19,0,0.47,5816.5,6328.9,10235.3,8380.9,309.2801056,20,1,0.65,4994.6,5561.9,6797.7,8460.2,None, None, None, None, None,None, None, None, None, None
832.5136464,H75 C46 N1 O10 P1 ,PS,40,7,0,PS 40:7:0,0.28,247019.1,263470.9,345052.6,413534.6,281.2487793,18,1,0.62,167132.9,178931,222488.8,225732.7,327.2331848,22,6,0.7,27712.1,26472.4,35333.3,33057.8,None, None, None, None, None,None, None, None, None, None
832.5136464,H75 C46 N1 O10 P1 ,PS,40,7,0,PS 40:7:0,0.28,247019.1,263470.9,345052.6,413534.6,303.2331238,20,4,0.56,24897.8,27325.6,40140.1,36508.1,305.2487946,20,3,0.62,2897.1,3577.4,4644.6,5059.4,None, None, None, None, None,None, None, None, None, None
834.5300954,H77 C46 N1 O10 P1 ,PS,40,6,0,PS 40:6:0,1.24,14285338.9,15173771.4,19537940.7,21910468.5,283.2644348,18,0,0.63,9314570.5,10669396.3,12424885.6,12493298.3,327.2331696,22,6,0.65,2053545.7,2497328.6,2911188.2,3055053.6,None, None, None, None, None,None, None, None, None, None
848.5452779,H79 C47 N1 O10 P1 ,PS,41,6,0,PS 41:6:0,0.67,50669.4,66117.3,96976.8,95849,297.2799835,19,0,0.26,13281,10936.8,16701.2,14894.4,327.2331848,22,6,0.7,7962.2,9634.6,13386.1,11975.8,None, None, None, None, None,None, None, None, None, None
