Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
					PI 17:0_18:1	[29.048738..31.114569]	[29.765331..31.747484]	[28.45377..31.205801]	[28.45377..31.747484]
PI 37:3:0	21.823065	21.8231	21.649881	[21.649881..21.8231]	Sum	[20.212404..23.06901]	[19.659666..22.957127]	[19.925531..22.71439]	[19.659666..23.06901]
					PI 17:0_20:3 (5z-11z)	[20.212404..23.06901]	[19.659666..22.957127]	[19.925531..22.71439]	[19.659666..23.06901]
PI 39:4:0	9.873978	9.963865	9.803486	[9.803486..9.963865]	Sum	[8.833791..10.766121]	[8.782391..9.610678]	[8.76415..10.530977]	[8.76415..10.766121]
					PI 17:0_22:4 (7z-10z)	[8.833791..10.766121]	[8.782391..9.610678]	[8.76415..10.530977]	[8.76415..10.766121]
PS 31:1:0	12.380459	12.262649	12.499509	[12.262649..12.499509]	Sum	[12.465987..12.774857]	[12.048207..12.638619]	[11.927842..13.707198]	[11.927842..13.707198]
					PS 17:0/14:1	[12.465987..12.775893]	[12.048207..12.638619]	[11.927842..13.707198]	[11.927842..13.707198]
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 33:1:0	23.046284	23.316261	23.512108	[23.046284..23.512108]	Sum	[22.994637..24.990685]	[21.500708..24.2158]	[22.569445..24.176426]	[21.500708..24.990685]
					PS 17:0/16:1	[22.994637..24.992712]	[21.500708..24.2158]	[22.569445..24.176426]	[21.500708..24.992712]
					PS 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 35:1:0	31.467606	31.496338	31.362423	[31.362423..31.496338]	Sum	[31.307844..32.320854]	[30.152802..33.056973]	[29.404804..33.042942]	[29.404804..33.056973]
					PS 18:1/17:0	[0.0..1.4693723]	[0.0..0.0]	[0.0..0.0]	[0.0..1.4693723]
					PS 17:0/18:1	[30.14682..31.942875]	[30.152802..33.056973]	[29.404804..33.042942]	[29.404804..33.056973]
PS 37:3:0	23.67931	23.47409	23.187222	[23.187222..23.67931]	Sum	[21.102165..22.890278]	[21.624384..24.38453]	[22.11367..23.342573]	[21.102165..24.38453]
					PS 17:0/20:3 (5z-11z)	[21.103876..22.890278]	[21.624384..24.38453]	[22.11367..23.342573]	[21.103876..24.38453]
					PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:4:0	9.426339	9.450666	9.438738	[9.426339..9.450666]	Sum	[8.987938..9.961722]	[9.374126..10.357494]	[9.508249..10.564986]	[8.987938..10.564986]
					PS 17:0/22:4 (7z-10z)	[8.988667..9.961722]	[9.374126..10.357494]	[9.508249..10.564986]	[8.988667..10.564986]
					PS 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
