Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 17:1/18:2	[0.03826354..0.040079556]	[0.0373415..0.040429305]	[0.038590357..0.041129127]	[0.03759916..0.04137053]	[0.0373415..0.04137053]	
						PG 18:3 (6z-9z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/18:3 (6z-9z)	[0.0021000872..0.002474443]	[0.0020434079..0.0026257073]	[0.0018940198..0.0025679045]	[0.0020875174..0.0023965696]	[0.0018940198..0.0026257073]	
PG 36:1:0	6.938667	7.3663416	7.5288506	7.4138374	[6.938667..7.5288506]	Sum	[8.531327..9.040416]	[8.432648..9.002854]	[7.913107..9.280853]	[8.636454..9.308101]	[7.913107..9.308101]	
						PG 20:1/16:0	[0.0..0.029398946]	[0.0040991264..0.03109371]	[0.0..0.012237174]	[0.0021418352..0.022710836]	[0.0..0.03109371]	
						PG 16:0/20:1	[0.13239934..0.17499372]	[0.11814268..0.15659629]	[0.122503445..0.17235456]	[0.13294676..0.17093803]	[0.11814268..0.17499372]	
						PG 18:0/18:1	[8.346917..8.891587]	[8.27836..8.850487]	[7.7181025..9.124846]	[8.461101..9.165593]	[7.7181025..9.165593]	
						PG 18:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.063873924]	[0.0..0.0]	[0.0..0.063873924]	
PG 36:2:0	9.2437105	9.181875	9.2561	9.187314	[9.181875..9.2561]	Sum	[8.580394..8.896111]	[9.050801..9.602852]	[9.004023..9.234564]	[9.145108..9.368615]	[8.580394..9.602852]	
						PG 20:2/16:0	[0.0..0.007304796]	[0.0..0.034453217]	[0.0..0.019704152]	[0.0..0.014555211]	[0.0..0.034453217]	
