PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_heart_01.mzXML,PRI:20180509_PC_heart_02.mzXML,PRI:20180509_PC_heart_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_heart_01.mzXML,FA1I:20180509_PC_heart_02.mzXML,FA1I:20180509_PC_heart_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_heart_01.mzXML,FA2I:20180509_PC_heart_02.mzXML,FA2I:20180509_PC_heart_03.mzXML,FACO1M,FACO1I:20180509_PC_heart_01.mzXML,FACO1I:20180509_PC_heart_02.mzXML,FACO1I:20180509_PC_heart_03.mzXML,FACO2M,FACO2I:20180509_PC_heart_01.mzXML,FACO2I:20180509_PC_heart_02.mzXML,FACO2I:20180509_PC_heart_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854.591861246,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.24,51401.7,48194.3,76410.9,283.264333089,18.0,0.0,0.27,16267.4,13777.0,21573.4,303.233052572,20.0,4.0,0.32,28958.5,27779.4,41908.1,None, None, None, None, None, None, None, None
856.608584879,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,1.49,25567.7,23416.3,38684.3,255.232872009,16.0,0.0,-0.33,0.0,68.3,177.5,333.279815674,22.0,3.0,-0.27,0.0,320.4,0.0,None, None, None, None, None, None, None, None
856.608584879,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,1.49,25567.7,23416.3,38684.3,279.232981364,18.0,2.0,0.09,3646.8,2829.8,3728.7,309.280075073,20.0,1.0,0.55,343.6,0.0,470.8,None, None, None, None, None, None, None, None
856.608584879,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,1.49,25567.7,23416.3,38684.3,281.248636882,18.0,1.0,0.11,1182.4,909.2,1207.7,307.26437377900004,20.0,2.0,0.39,737.3,412.6,1068.7,None, None, None, None, None, None, None, None
856.608584879,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,1.49,25567.7,23416.3,38684.3,283.264333089,18.0,0.0,0.27,8570.6,9028.4,12997.8,305.248708089,20.0,3.0,0.34,24446.8,23555.9,35409.4,None, None, None, None, None, None, None, None
858.622297444,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,-0.77,6170.7,4988.1,9126.5,279.232971191,18.0,2.0,0.06,6224.8,4947.2,8039.8,311.295857747,20.0,0.0,0.97,308.5,328.1,631.3,None, None, None, None, None, None, None, None
858.622297444,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,-0.77,6170.7,4988.1,9126.5,281.248677572,18.0,1.0,0.26,1349.0,1011.6,1823.0,309.27997843400004,20.0,1.0,0.24,423.7,342.3,385.5,None, None, None, None, None, None, None, None
858.622297444,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,-0.77,6170.7,4988.1,9126.5,283.264312744,18.0,0.0,0.2,1125.8,787.3,1415.8,307.264363607,20.0,2.0,0.35,2585.0,2873.6,4278.9,None, None, None, None, None, None, None, None
860.638370035,H91 C47 N1 O10 P1 ,PC,38.0,1.0,0.0,PC 38:1:0,-0.28,0.0,0.0,5710.9,283.264282227,18.0,0.0,0.09,0.0,0.0,309.5,309.28012085,20.0,1.0,0.7,293.2,0.0,531.2,None, None, None, None, None, None, None, None
880.607669352,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,0.41,0.0,0.0,5715.0,281.248626709,18.0,1.0,0.08,0.0,0.0,982.1,331.264648438,22.0,4.0,1.19,283.1,0.0,379.4,None, None, None, None, None, None, None, None
880.607669352,H87 C49 N1 O10 P1 ,PC,40.0,5.0,0.0,PC 40:5:0,0.41,0.0,0.0,5715.0,283.264302572,18.0,0.0,0.17,1554.6,1989.2,2380.7,329.24874877900004,22.0,5.0,0.44,2705.5,2548.3,3702.7,None, None, None, None, None, None, None, None
922.560977457,H81 C53 N1 O10 P1 ,PC,44.0,12.0,0.0,PC 44:12:0,0.67,263106.2,242176.5,372646.1,327.233083089,22.0,6.0,0.39,81484.5,81093.2,117360.3,327.233083089,22.0,6.0,0.39,81484.5,81093.2,117360.3,None, None, None, None, None, None, None, None
946.748416422,H105 C53 N1 O10 P1 ,PC,44.0,0.0,0.0,PC 44:0:0,0.27,270836.5,245964.0,408548.1,339.326833089,22.0,0.0,-0.07,478095.8,542703.4,740621.7,339.326833089,22.0,0.0,-0.07,478095.8,542703.4,740621.7,None, None, None, None, None, None, None, None
