,168[P6_MSMS_1],168[P6_MSMS_2],168[P6_MSMS_3],168[P6_MSMS_4],237.2[P6_MSMS_1],237.2[P6_MSMS_2],237.2[P6_MSMS_3],237.2[P6_MSMS_4],255.2[P6_MSMS_1],255.2[P6_MSMS_2],255.2[P6_MSMS_3],255.2[P6_MSMS_4],281.2[P6_MSMS_4],283.3[P6_MSMS_1],283.3[P6_MSMS_2],283.3[P6_MSMS_4],448.3[P6_MSMS_1],448.3[P6_MSMS_2],448.3[P6_MSMS_3],448.3[P6_MSMS_4],466.3[P6_MSMS_1],466.3[P6_MSMS_2],466.3[P6_MSMS_3],466.3[P6_MSMS_4],704.6[P6_MSMS_1],704.6[P6_MSMS_2],704.6[P6_MSMS_3],704.6[P6_MSMS_4],764.6[P6_MSMS_1],764.6[P6_MSMS_2],764.6[P6_MSMS_3],764.6[P6_MSMS_4],
110.00,6885.395996,7180.335938,7116.656738,7213.387207,1145.500366,757.397095,754.797607,676.450806,147274.281250,155215.703125,147539.109375,148736.953125,245.532166,,,,455.947968,637.750916,471.702271,290.725677,1523.322021,1243.632568,1604.354858,728.591675,,,,,,,,,
112.00,5354.226563,5778.761719,5114.765137,7364.743652,892.403137,686.957642,524.209412,706.391479,138132.859375,136041.671875,134051.906250,136734.562500,,335.860931,,,710.217346,580.149475,317.589325,375.516388,1005.416992,1480.295776,815.529785,740.356934,,,,,,,,,
114.00,5809.388184,5677.008789,7146.556152,6646.547852,917.655884,376.047821,965.073120,718.365662,116706.976563,117704.250000,123740.796875,111896.578125,,,,,439.389130,229.858780,410.547943,285.311646,800.279236,553.225525,549.278442,908.604614,,,,,,,,,
116.00,5388.055664,6158.499023,4476.103027,4397.242188,783.267273,725.783691,992.612305,524.011414,101130.953125,107170.250000,102381.773438,93661.460938,,,,,581.647644,,,,724.898682,,509.762329,834.977417,,,,,,,,,
118.00,3604.303223,4459.350098,4681.783691,4348.332520,761.422852,905.956726,479.579956,494.529694,90921.695313,86268.335938,88892.382813,87649.414063,,,,,,,,302.654999,491.218811,315.509827,704.634888,391.027557,,,,,,,,,
120.00,4071.724609,4491.002930,4330.363770,4449.130859,721.032104,339.525909,581.352844,817.630493,73565.250000,71785.945313,75059.914063,78895.867188,,,,,,,,,,492.963745,294.324005,351.082062,,,,,,,,,
122.00,4150.511719,4054.021729,3167.856201,4507.223633,710.382996,995.323425,410.436066,457.918488,58959.410156,63212.945313,63767.343750,62564.386719,,,,,286.396973,,,,,,,,,,,,,,,,
124.00,3740.774902,2845.016113,3388.500732,2475.212402,596.297974,1033.895142,605.087158,395.368530,47906.085938,50485.054688,49629.410156,49183.398438,,,,,,,,272.521301,,,,,,,,,,,,,
126.00,2577.137207,2211.407959,2871.078369,2166.474609,587.703674,828.972656,680.870544,488.596008,39396.128906,48171.546875,44388.660156,44261.511719,,,,,,,,,,,,,,,,,,,,,
128.00,1970.651855,2876.905029,2046.095093,1794.651733,834.849731,413.253510,642.487671,543.370605,37933.652344,34011.015625,35942.902344,38379.679688,,,,,,,,,,,,,,,,,,,,,
130.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.00,,,,,,,,,16542.166016,17692.681641,17908.250000,17997.251953,299.312378,,,242.656357,,,,297.586060,1578.255005,1679.669434,1578.184814,1226.079102,501616.718750,510052.562500,519919.937500,523428.125000,225989.687500,228807.750000,240474.015625,242835.984375,
