Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PS 35:1:0	269.25	240116_PS_FTMSMS-_1.mzXML	25.0	166279.2	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[0.997..0.997]	[165780.36..165780.36]	[0.687..0.687]	[0.0..0.06]	[0.997..0.997]	[165780.36..165780.36]	[0.687..0.687]	[0.0..0.055]	0.8827558	[146343.58..146343.58]
Group-1	PS 35:1:0	269.25	240116_PS_FTMSMS-_1.mzXML	30.0	383553.7	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[0.986..0.986]	[378183.94..378183.94]	[0.727..0.727]	[0.0..0.06]	[0.986..0.986]	[378183.94..378183.94]	[0.727..0.727]	[0.0..0.055]	0.8827558	[333844.06..333844.06]
Group-1	PS 35:1:0	269.25	240116_PS_FTMSMS-_1.mzXML	35.0	458947.4	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[0.979..0.979]	[449309.5..449309.5]	[0.733..0.733]	[0.0..0.06]	[0.979..0.979]	[449309.5..449309.5]	[0.733..0.733]	[0.0..0.055]	0.8827558	[396630.6..396630.6]
Group-1	PS 35:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	25.0	85047.2	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.888..0.888]	[75521.914..75521.914]	[0.313..0.313]	[0.94..1.0]	[0.888..0.888]	[75521.914..75521.914]	[0.313..0.313]	[0.945..1.0]	0.8827558	[66667.414..66667.414]
Group-1	PS 35:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	30.0	154880.6	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.919..0.919]	[142335.27..142335.27]	[0.273..0.273]	[0.94..1.0]	[0.919..0.919]	[142335.27..142335.27]	[0.273..0.273]	[0.945..1.0]	0.8827558	[125647.29..125647.29]
Group-1	PS 35:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	35.0	174905.5	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.936..0.936]	[163711.55..163711.55]	[0.267..0.267]	[0.94..1.0]	[0.936..0.936]	[163711.55..163711.55]	[0.267..0.267]	[0.945..1.0]	0.8827558	[144517.31..144517.31]
Group-1	PS 35:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	82254.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[81103.23..82090.29]	[0.72..0.73]	[0.0..0.0]	[0.986..0.986]	[81103.23..81103.23]	[0.718..0.718]	[0.0..0.0]	0.8827558	[71594.34..72465.68]
Group-1	PS 35:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	172113.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[166606.16..167810.95]	[0.756..0.757]	[0.0..0.0]	[0.968..0.968]	[166606.16..166606.16]	[0.754..0.754]	[0.0..0.0]	0.8827558	[147072.55..148136.1]
Group-1	PS 35:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	35.0	203255.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.962]	[195328.25..195531.52]	[0.753..0.756]	[0.0..0.0]	[0.961..0.961]	[195328.25..195328.25]	[0.753..0.753]	[0.0..0.0]	0.8827558	[172427.16..172606.58]
Group-1	PS 36:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	25.0	1.1423675E7	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.888..0.94]	[1.0144224E7..1.0738254E7]	[0.288..0.297]	[1.0..1.0]	[0.94..0.94]	[1.0738254E7..1.0738254E7]	[0.3..0.3]	[1.0..1.0]	0.86926925	[8818061.0..9334434.0]
Group-1	PS 36:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	30.0	1.863247E7	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.919..0.925]	[1.712324E7..1.7235034E7]	[0.26..0.26]	[1.0..1.0]	[0.925..0.925]	[1.7235034E7..1.7235034E7]	[0.262..0.262]	[1.0..1.0]	0.86926925	[1.4884706E7..1.4981886E7]
Group-1	PS 36:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	35.0	2.406265E7	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.916..0.936]	[2.2041388E7..2.252264E7]	[0.244..0.248]	[1.0..1.0]	[0.936..0.936]	[2.252264E7..2.252264E7]	[0.248..0.248]	[1.0..1.0]	0.86926925	[1.91599E7..1.9578238E7]
Group-1	PS 36:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	2.541974E7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[2.5063864E7..2.5368902E7]	[0.703..0.712]	[0.0..0.0]	[0.986..0.986]	[2.5063864E7..2.5063864E7]	[0.7..0.7]	[0.0..0.0]	0.86926925	[2.1787246E7..2.2052406E7]
Group-1	PS 36:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	5.0250592E7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[4.8642572E7..4.8994328E7]	[0.74..0.74]	[0.0..0.0]	[0.968..0.968]	[4.8642572E7..4.8642572E7]	[0.738..0.738]	[0.0..0.0]	0.86926925	[4.2283496E7..4.2589264E7]
Group-1	PS 36:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	35.0	7.1083912E7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.962]	[6.831164E7..6.8382728E7]	[0.752..0.756]	[0.0..0.0]	[0.961..0.961]	[6.831164E7..6.831164E7]	[0.752..0.752]	[0.0..0.0]	0.86926925	[5.9381212E7..5.9443E7]
Group-1	PS 36:2:0	279.23	240116_PS_FTMSMS-_1.mzXML	25.0	127014.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.882..0.927]	[112026.53..117742.17]	[0.301..0.309]	[0.97..1.0]	[0.926..0.927]	[117615.15..117742.164]	[0.312..0.312]	[0.973..1.0]	0.8711848	[97595.81..102575.19]
Group-1	PS 36:2:0	279.23	240116_PS_FTMSMS-_1.mzXML	30.0	202437.3	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.929..0.932]	[188064.25..188671.56]	[0.253..0.253]	[0.97..1.0]	[0.932..0.932]	[188671.56..188671.56]	[0.254..0.254]	[0.973..1.0]	0.8711848	[163838.72..164367.8]
Group-1	PS 36:2:0	279.23	240116_PS_FTMSMS-_1.mzXML	35.0	221860.9	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.962..0.981]	[213430.19..217645.55]	[0.209..0.212]	[0.97..1.0]	[0.98..0.981]	[217423.69..217645.55]	[0.212..0.212]	[0.973..1.0]	0.8711848	[185937.16..189609.5]
Group-1	PS 36:2:0	281.25	240116_PS_FTMSMS-_1.mzXML	25.0	4718654.0	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.946..0.946]	[4463846.5..4463846.5]	[0.5..0.5]	[0.5..0.5]	[0.946..0.946]	[4463846.5..4463846.5]	[0.5..0.5]	[0.5..0.5]	0.8711848	[3888835.5..3888835.5]
Group-1	PS 36:2:0	281.25	240116_PS_FTMSMS-_1.mzXML	30.0	9609843.0	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.911..0.911]	[8754567.0..8754567.0]	[0.5..0.5]	[0.5..0.5]	[0.911..0.911]	[8754567.0..8754567.0]	[0.5..0.5]	[0.5..0.5]	0.8711848	[7626846.0..7626846.0]
Group-1	PS 36:2:0	281.25	240116_PS_FTMSMS-_1.mzXML	35.0	1.1708166E7	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.887..0.887]	[1.0385144E7..1.0385144E7]	[0.5..0.5]	[0.5..0.5]	[0.887..0.887]	[1.0385144E7..1.0385144E7]	[0.5..0.5]	[0.5..0.5]	0.8711848	[9047380.0..9047380.0]
Group-1	PS 36:2:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	263459.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[259770.88..262932.4]	[0.691..0.699]	[0.0..0.03]	[0.986..0.986]	[259770.88..259770.88]	[0.688..0.688]	[0.0..0.027]	0.8711848	[226308.45..229062.72]
Group-1	PS 36:2:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	572850.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[554519.6..558529.6]	[0.747..0.747]	[0.0..0.03]	[0.968..0.968]	[554519.6..554519.6]	[0.746..0.746]	[0.0..0.027]	0.8711848	[483089.12..486582.53]
