Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 20:1/18:2	[0.038581666..0.04238709]	[0.04896936..0.059497233]	[0.02888586..0.03591368]	[0.02888586..0.059497233]	
					PC 20:2/18:1	[0.039168272..0.05381949]	[0.056306306..0.05854516]	[0.033099286..0.06109078]	[0.033099286..0.06109078]	
					PC 18:1/20:2	[0.0..0.008503479]	[0.001186645..0.003046738]	[0.0..0.011973793]	[0.0..0.011973793]	
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:3 (5z-11z)	[0.20242837..0.27202666]	[0.21540013..0.28798327]	[0.21480319..0.27856869]	[0.20242837..0.28798327]	
PC 38:4:0	4.264036	4.287737	4.3650928	[4.264036..4.3650928]	Sum	[2.8055737..2.9996426]	[2.5314786..2.9718394]	[2.8020332..3.4149582]	[2.5314786..3.4149582]	
					PC 22:4 (7z-10z)/16:0	[0.0..0.0018937348]	[0.0..0.0]	[0.0..0.012805099]	[0.0..0.012805099]	
					PC 16:0/22:4 (7z-10z)	[0.10667878..0.13526677]	[0.103454895..0.1280778]	[0.10450025..0.14889649]	[0.103454895..0.14889649]	
					PC 20:2/18:2	[0.02344768..0.032729503]	[0.026509713..0.036431212]	[0.028814975..0.035495248]	[0.02344768..0.036431212]	
					PC 18:2/20:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:3 (5z-11z)/18:1	[0.0..0.0030116069]	[0.0..0.010106859]	[0.0..0.008267409]	[0.0..0.010106859]	
					PC 18:1/20:3 (5z-11z)	[0.043966465..0.05905112]	[0.042158693..0.065205544]	[0.041418135..0.06947403]	[0.041418135..0.06947403]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:4 (5z-8z)	[2.6201801..2.7803922]	[2.3491476..2.7675467]	[2.6251884..3.1834621]	[2.3491476..3.1834621]	
PC 38:5:0	1.8145833	1.8189828	1.8111417	[1.8111417..1.8189828]	Sum	[1.0907644..1.1718051]	[1.098671..1.2167271]	[1.1286652..1.3070321]	[1.0907644..1.3070321]	
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/22:5 (4z-7z)	[0.8754027..0.92826474]	[0.87966126..0.9686226]	[0.9610385..1.0200294]	[0.8754027..1.0200294]	
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.003436718]	[0.0..0.031963333]	[0.0..0.031963333]	
