Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 20:4 (5z-8z)/16:1	[0.0..0.0019320041]	[0.0..0.002049774]	[0.0..0.008530275]	[0.0..0.008530275]
					PC 16:1/20:4 (5z-8z)	[0.024777908..0.037882432]	[0.022491224..0.03596095]	[0.011125071..0.033850297]	[0.011125071..0.037882432]
					PC 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:3 (6z-9z)/18:2	[0.028979298..0.033119094]	[0.03839075..0.04298874]	[0.026637455..0.035943046]	[0.026637455..0.04298874]
PC 38:2:0	0.06623967	0.062408756	0.0	[0.0..0.06623967]	Sum	[0.07517856..0.0803687]	[0.0970543..0.12462932]	[0.05421602..0.07497731]	[0.05421602..0.12462932]
					PC 20:1/18:1	[0.037387997..0.039987344]	[0.049704436..0.07154867]	[0.021101836..0.037660316]	[0.021101836..0.07154867]
					PC 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:0	[3.7008882E-5..0.0017491044]	[0.008966826..0.02036157]	[0.0..0.0023544566]	[0.0..0.02036157]
					PC 18:0/20:2	[0.0354175..0.040636167]	[0.026856951..0.042211723]	[0.03181601..0.039906044]	[0.026856951..0.042211723]
PC 38:3:0	-2.230125E-5	-2.7010281E-5	-3.005039E-5	[-3.005039E-5..-2.230125E-5]	Sum	[0.29467148..0.37015033]	[0.34507835..0.41301125]	[0.29593712..0.36148953]	[0.29467148..0.41301125]
					PC 22:3 (13z)/16:0	[0.0..0.007134887]	[0.0..0.007651124]	[0.0..0.0016345148]	[0.0..0.007651124]
					PC 16:0/22:3 (13z)	[0.0..0.007134887]	[0.0..0.007651124]	[0.0..0.0]	[0.0..0.007651124]
					PC 20:1/18:2	[0.038010087..0.04196849]	[0.048898727..0.059822556]	[0.028986786..0.036094207]	[0.028986786..0.059822556]
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:1	[0.03946553..0.053683314]	[0.056696404..0.05850025]	[0.033304717..0.060854964]	[0.033304717..0.060854964]
					PC 18:1/20:2	[0.0..0.008481964]	[0.0013143528..0.0030506265]	[8.284755E-5..0.0119514745]	[0.0..0.0119514745]
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:3 (5z-11z)	[0.20373562..0.27285928]	[0.21697195..0.28948474]	[0.21607485..0.279542]	[0.20373562..0.28948474]
PC 38:4:0	2.8569055	2.8533406	2.8637424	[2.8533406..2.8637424]	Sum	[2.8260934..3.0157487]	[2.5564148..2.9910188]	[2.8181496..3.4129608]	[2.5564148..3.4129608]
