Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 20:3 (5z-11z)/18:1	[0.0..0.012747484]	[0.0..0.041428242]	[0.0..0.02283102]	[0.0..0.041428242]
					PC 18:1/20:3 (5z-11z)	[0.1742182..0.23606452]	[0.1706201..0.26556563]	[0.17308496..0.25089034]	[0.1706201..0.26556563]
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:4 (5z-8z)	[10.140007..11.071266]	[9.34708..11.344649]	[10.355993..13.051458]	[9.34708..13.051458]
PC 38:5:0	4.8817296	4.743693	4.4958143	[4.4958143..4.8817296]	Sum	[4.2508874..4.5903254]	[4.3428273..4.8381805]	[4.216992..5.376507]	[4.216992..5.376507]
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/22:5 (4z-7z)	[3.398763..3.619965]	[3.4721384..3.8414505]	[3.511977..4.183903]	[3.398763..4.183903]
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.021984711]	[0.0..0.13156834]	[0.0..0.13156834]
					PC 18:1/20:4 (5z-8z)	[0.8142164..0.9703602]	[0.8111296..0.9993051]	[0.65859586..1.061035]	[0.65859586..1.061035]
PC 38:6:0	3.0238185	2.928551	2.9341137	[2.928551..3.0238185]	Sum	[2.733359..3.1443846]	[3.0581632..3.482966]	[2.8905807..3.7887502]	[2.733359..3.7887502]
					PC 22:6 (4z)/16:0	[0.0..0.032719918]	[0.0..0.0]	[0.0..0.0]	[0.0..0.032719918]
					PC 16:0/22:6 (4z)	[2.6762145..2.974538]	[3.009078..3.3025765]	[2.871254..3.597189]	[2.6762145..3.597189]
					PC 20:4 (5z-8z)/18:2	[0.018094094..0.10158295]	[0.033257578..0.12586747]	[0.0021379576..0.11529592]	[0.0021379576..0.12586747]
					PC 18:2/20:4 (5z-8z)	[0.0..0.06826375]	[0.0..0.083575994]	[0.0..0.10791697]	[0.0..0.10791697]
PC 40:4:0	-8.954701E-5	-1.0585017E-4	0.0	[-1.0585017E-4..0.0]	Sum	[0.22778141..0.28455442]	[0.25171307..0.352997]	[0.21583994..0.34405777]	[0.21583994..0.352997]
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.030330637]	[0.0..0.0]	[0.0..0.030330637]
					PC 18:0/22:4 (7z-10z)	[0.22778141..0.28455442]	[0.25171307..0.32266638]	[0.21583994..0.34405777]	[0.21583994..0.34405777]
PC 40:5:0	1.6127317	1.5768677	1.3971875	[1.3971875..1.6127317]	Sum	[1.2951192..1.5381863]	[1.4104155..1.613087]	[1.1503623..1.5802416]	[1.1503623..1.613087]
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.017550897]	[0.0..0.0]	[0.0..0.017550897]
					PC 18:0/22:5 (4z-7z)	[1.2951192..1.5381863]	[1.4104155..1.5955362]	[1.1503623..1.5802416]	[1.1503623..1.5955362]
PC 40:6:0	1.0800215	1.087293	1.0929163	[1.0800215..1.0929163]	Sum	[1.055382..1.2553794]	[0.9754417..1.2240001]	[0.9294132..1.0756017]	[0.9294132..1.2553794]
					PC 22:5 (4z-7z)/18:1	[0.16781968..0.26144677]	[0.19636977..0.30692622]	[0.18362994..0.23759164]	[0.16781968..0.30692622]
					PC 18:1/22:5 (4z-7z)	[0.0..0.029020594]	[0.0..0.05094975]	[0.0..0.0]	[0.0..0.05094975]
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.11850327]	[0.0..0.15191801]	[0.0..0.15191801]
					PC 18:0/22:6 (4z)	[0.855784..0.97347575]	[0.65754974..0.8977521]	[0.61354196..0.8439889]	[0.61354196..0.97347575]
