PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240604_eggPEO_25-35_1.mzXML,PRI:240604_eggPEO_25-35_2.mzXML,PRI:240604_eggPEO_25-35_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240604_eggPEO_25-35_1.mzXML,FA1I:240604_eggPEO_25-35_2.mzXML,FA1I:240604_eggPEO_25-35_3.mzXML,FACO1M,FACO1I:240604_eggPEO_25-35_1.mzXML,FACO1I:240604_eggPEO_25-35_2.mzXML,FACO1I:240604_eggPEO_25-35_3.mzXML
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,329.24864705403644,22.0,5.0,0.13,112310.0,105025.4,118679.2,, None, None, None
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,327.2329508463542,22.0,6.0,-0.01,42261.0,36535.2,39702.7,, None, None, None
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,303.23293050130206,20.0,4.0,-0.08,10446.3,10910.5,10612.5,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,331.26429239908856,22.0,4.0,0.11,32059.7,34979.9,30999.9,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,329.2486267089844,22.0,5.0,0.07,117199.9,113767.9,107550.6,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,305.2486267089844,20.0,3.0,0.07,0.0,2168.9,2036.8,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,303.23292032877606,20.0,4.0,-0.12,40049.1,39771.1,37866.7,, None, None, None
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,331.2641296386719,22.0,4.0,-0.38,0.0,0.0,8821.7,, None, None, None
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,329.2486267089844,22.0,5.0,0.07,132090.7,120222.4,124020.6,, None, None, None
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,327.23297119140625,22.0,6.0,0.05,51161.9,46038.1,48996.2,, None, None, None
