PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_egg_01.mzXML,PRI:20180509_PC_egg_02.mzXML,PRI:20180509_PC_egg_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_egg_01.mzXML,FA1I:20180509_PC_egg_02.mzXML,FA1I:20180509_PC_egg_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_egg_01.mzXML,FA2I:20180509_PC_egg_02.mzXML,FA2I:20180509_PC_egg_03.mzXML,FACO1M,FACO1I:20180509_PC_egg_01.mzXML,FACO1I:20180509_PC_egg_02.mzXML,FACO1I:20180509_PC_egg_03.mzXML,FACO2M,FACO2I:20180509_PC_egg_01.mzXML,FACO2I:20180509_PC_egg_02.mzXML,FACO2I:20180509_PC_egg_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826.560997802,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.77,191459.9,159016.0,144319.2,255.23281860400002,16.0,0.0,-0.54,44937.4,39772.8,32023.9,303.232971191,20.0,4.0,0.05,134617.0,117196.0,93843.7,None, None, None, None, None, None, None, None
826.560997802,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.77,191459.9,159016.0,144319.2,277.21725463900003,18.0,3.0,-0.18,1626.0,1363.0,1129.9,281.248575846,18.0,1.0,-0.1,1508.5,1303.8,1164.4,None, None, None, None, None, None, None, None
826.560997802,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.77,191459.9,159016.0,144319.2,279.232910156,18.0,2.0,-0.16,28506.0,25632.2,20182.1,279.232910156,18.0,2.0,-0.16,28506.0,25632.2,20182.1,None, None, None, None, None, None, None, None
828.577375569,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.65,152207.7,124370.1,110084.9,255.23282369,16.0,0.0,-0.52,8758.9,8398.9,5240.5,305.248647054,20.0,3.0,0.14,27486.4,24890.2,20098.9,None, None, None, None, None, None, None, None
828.577375569,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.65,152207.7,124370.1,110084.9,277.217295329,18.0,3.0,-0.04,2603.4,2634.0,2113.9,283.264221191,18.0,0.0,-0.12,941.4,770.5,606.4,None, None, None, None, None, None, None, None
828.577375569,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.65,152207.7,124370.1,110084.9,279.232930501,18.0,2.0,-0.09,102855.1,95537.6,70451.7,281.248565674,18.0,1.0,-0.14,48015.1,42620.6,32575.8,None, None, None, None, None, None, None, None
830.592349527,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.83,618507.7,511496.6,450190.7,255.232838949,16.0,0.0,-0.46,3894.0,4936.1,3015.8,307.264312744,20.0,2.0,0.19,12004.1,12425.0,8538.4,None, None, None, None, None, None, None, None
830.592349527,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.83,618507.7,511496.6,450190.7,279.232940674,18.0,2.0,-0.05,427672.9,411786.0,317734.1,283.264241536,18.0,0.0,-0.05,137007.6,125709.9,101683.8,None, None, None, None, None, None, None, None
830.592349527,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.83,618507.7,511496.6,450190.7,281.248565674,18.0,1.0,-0.14,157057.6,150681.2,118082.5,281.248565674,18.0,1.0,-0.14,157057.6,150681.2,118082.5,None, None, None, None, None, None, None, None
832.608564534,H87 C45 N1 O10 P1 ,PC,36.0,1.0,0.0,PC 36:1:0,1.51,418521.7,342305.8,298618.3,255.23282369,16.0,0.0,-0.52,2158.5,2652.1,1719.9,309.27999877900004,20.0,1.0,0.3,6126.7,6052.4,4269.3,None, None, None, None, None, None, None, None
