Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PE 35:1:0	281.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	3570405.5	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.953..0.953]	[3402596.5..3402596.5]	[0.733..0.733]	[1.0..1.0]	[0.953..0.953]	[3402596.5..3402596.5]	[0.733..0.733]	[1.0..1.0]	0.9227341	[3139691.8..3139691.8]
Group-1	PE 35:1:0	281.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	3805388.0	0.0	0.0	[9.0..9.0]	[0.7..1.0]	[0.922..0.926]	[3508567.8..3523789.2]	[0.712..0.713]	[1.0..1.0]	[0.926..0.926]	[3523789.2..3523789.2]	[0.713..0.713]	[1.0..1.0]	0.9227341	[3237475.0..3251520.5]
Group-1	PE 35:1:0	281.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	3254265.0	0.0	0.0	[9.0..9.0]	[0.7..0.7]	[0.932..0.932]	[3032975.0..3032975.0]	[0.7..0.7]	[1.0..1.0]	[0.932..0.932]	[3032975.0..3032975.0]	[0.7..0.7]	[1.0..1.0]	0.9227341	[2798629.2..2798629.2]
Group-1	PE 37:3:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	782223.5	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.993..0.993]	[776747.94..776747.94]	[0.275..0.275]	[0.0..0.0]	[0.993..0.993]	[776747.94..776747.94]	[0.275..0.275]	[0.0..0.0]	0.897656	[697252.44..697252.44]
Group-1	PE 37:3:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	871621.2	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.982..0.982]	[855932.06..855932.06]	[0.285..0.285]	[0.0..0.0]	[0.982..0.982]	[855932.0..855932.0]	[0.285..0.285]	[0.0..0.0]	0.897656	[768332.5..768332.5]
Group-1	PE 37:3:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	832287.5	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.981..0.981]	[816474.06..816474.06]	[0.28..0.28]	[0.0..0.0]	[0.981..0.981]	[816474.06..816474.06]	[0.28..0.28]	[0.0..0.0]	0.897656	[732912.8..732912.8]
Group-1	PE 37:3:0	305.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	2033770.4	6278.1	0.0030869266	[8.0..8.0]	[1.0..1.0]	[1.006..1.006]	[2045973.1..2045973.1]	[0.725..0.725]	[1.0..1.0]	[1.006..1.006]	[2045973.1..2045973.1]	[0.725..0.725]	[1.0..1.0]	0.897656	[1836580.1..1836580.1]
Group-1	PE 37:3:0	305.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	1914584.0	10033.7	0.0052406685	[8.0..8.0]	[1.0..1.0]	[1.12..1.12]	[2144334.0..2144334.0]	[0.715..0.715]	[1.0..1.0]	[1.12..1.12]	[2144334.0..2144334.0]	[0.715..0.715]	[1.0..1.0]	0.897656	[1924874.4..1924874.4]
Group-1	PE 37:3:0	305.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	1540783.6	11180.9	0.007256632	[8.0..8.0]	[1.0..1.0]	[1.364..1.364]	[2101628.8..2101628.8]	[0.72..0.72]	[1.0..1.0]	[1.364..1.364]	[2101628.8..2101628.8]	[0.72..0.72]	[1.0..1.0]	0.897656	[1886539.9..1886539.9]
Group-1	PE 39:4:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	410177.9	0.0	0.0	[0.0..0.0]	[0.0..0.7]	[0.993..0.996]	[407306.66..408537.2]	[0.286..0.293]	[0.0..0.02]	[0.993..0.993]	[407306.66..407306.66]	[0.285..0.285]	[0.0..0.021]	0.8720794	[355203.72..356276.84]
Group-1	PE 39:4:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	456657.0	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.982..0.982]	[448437.16..448437.16]	[0.306..0.306]	[0.0..0.02]	[0.982..0.982]	[448437.16..448437.16]	[0.306..0.306]	[0.0..0.021]	0.8720794	[391072.8..391072.8]
Group-1	PE 39:4:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	419568.9	0.0	0.0	[0.0..0.0]	[0.7..0.7]	[0.983..0.983]	[412436.22..412436.22]	[0.311..0.311]	[0.0..0.02]	[0.983..0.983]	[412436.22..412436.22]	[0.311..0.311]	[0.0..0.021]	0.8720794	[359677.12..359677.12]
Group-1	PE 39:4:0	331.26	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	919984.3	19864.3	0.021591999	[7.0..7.0]	[0.3..1.0]	[1.07..1.111]	[984383.25..1022102.5]	[0.707..0.714]	[0.98..1.0]	[1.11..1.111]	[1021182.6..1022102.5]	[0.715..0.715]	[0.979..1.0]	0.8720794	[858460.3..891354.5]
Group-1	PE 39:4:0	331.26	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	715533.6	27283.5	0.038130283	[7.0..7.0]	[1.0..1.0]	[1.42..1.42]	[1016057.7..1016057.7]	[0.694..0.694]	[0.98..1.0]	[1.42..1.42]	[1016057.7..1016057.7]	[0.694..0.694]	[0.979..1.0]	0.8720794	[886083.0..886083.0]
Group-1	PE 39:4:0	331.26	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	445277.8	23661.5	0.053138737	[7.0..7.0]	[0.3..0.3]	[2.051..2.051]	[913264.9..913264.9]	[0.689..0.689]	[0.98..1.0]	[2.051..2.051]	[913264.9..913264.9]	[0.689..0.689]	[0.979..1.0]	0.8720794	[796439.44..796439.44]
Group-1	PG 31:1:0	225.19	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	1054655.5	0.0	0.0	[7.0..7.0]	[0.0..1.0]	[0.962..0.97]	[1014578.6..1023015.9]	[0.703..0.704]	[0.95..0.97]	[0.97..0.97]	[1023015.9..1023015.9]	[0.705..0.705]	[0.954..0.967]	0.95060706	[964465.56..972486.06]
Group-1	PG 31:1:0	225.19	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	1284503.8	0.0	0.0	[7.0..7.0]	[0.0..1.0]	[0.999..1.011]	[1283219.2..1298633.4]	[0.698..0.699]	[0.95..0.97]	[1.01..1.011]	[1297348.8..1298633.4]	[0.7..0.7]	[0.954..0.967]	0.95060706	[1219837.4..1234490.1]
