Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 14:0/22:5 (4z-7z)	[0.0026991004..0.008192136]	[0.0..0.007408268]	[0.0..0.006481911]	[0.0..0.008192136]	
					PE 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0030520968]	[0.0..0.011172226]	[0.0..0.011172226]	
					PE 16:1/20:4 (5z-8z)	[0.02839236..0.036796782]	[0.02194131..0.035907023]	[0.017140612..0.03961782]	[0.017140612..0.03961782]	
					PE 20:5 (5z)/16:0	[0.048132285..0.07097198]	[0.0840389..0.1027715]	[0.07046523..0.10624112]	[0.048132285..0.10624112]	
					PE 16:0/20:5 (5z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:3 (6z-9z)/18:2	[0.029782893..0.033773843]	[0.028251171..0.03310296]	[0.030752774..0.035649005]	[0.028251171..0.035649005]	
					PE 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:1:0	0.18631399	0.18542351	0.1963577	[0.18542351..0.1963577]	Sum	[0.87790346..1.0443676]	[0.9967459..1.2095842]	[0.9558322..1.1589329]	[0.87790346..1.2095842]	
					PE 20:1/17:0	[0.0..0.0]	[0.0..0.001572525]	[0.0..0.0013579106]	[0.0..0.001572525]	
					PE 17:0/20:1	[0.025125759..0.027508752]	[0.023264527..0.030240865]	[0.023393588..0.02715821]	[0.023264527..0.030240865]	
					PE 19:0/18:1	[0.3484801..0.38794646]	[0.42087907..0.49514672]	[0.4033957..0.47895133]	[0.3484801..0.49514672]	
					PE 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 19:1/18:0	[0.5008705..0.628916]	[0.5477804..0.68419665]	[0.52453023..0.652852]	[0.5008705..0.68419665]	
					PE 18:0/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 38:1:0	0.11621528	0.115425594	0.13585648	[0.115425594..0.13585648]	Sum	[0.6871371..0.80159914]	[0.8817732..1.0313897]	[0.84568155..0.9275764]	[0.6871371..1.0313897]	
					PE 20:0/18:1	[0.33783937..0.38330343]	[0.45918038..0.5477853]	[0.425545..0.48632637]	[0.33783937..0.5477853]	
					PE 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 20:1/18:0	[0.2749656..0.4078383]	[0.37062725..0.48360443]	[0.3686712..0.45126104]	[0.2749656..0.48360443]	
					PE 18:0/20:1	[0.008915875..0.095789716]	[0.0..0.031917892]	[0.0..0.043772325]	[0.0..0.095789716]	
PE 38:4:0	22.83455	22.554546	22.678589	[22.554546..22.83455]	Sum	[21.70251..24.952276]	[19.659494..23.811995]	[18.582031..24.077347]	[18.582031..24.952276]	
