Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 16:0/24:4 (9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:4 (7z-10z)/18:0	[0.12914857..0.2518178]	[0.107647784..0.2756255]	[0.1440877..0.2917974]	[0.107647784..0.2917974]	
					PE 18:0/22:4 (7z-10z)	[0.16632189..0.29497385]	[0.12133181..0.29626304]	[0.14488599..0.29271355]	[0.12133181..0.29626304]	
					PE 20:0/20:4 (5z-8z)	[0.021889277..0.030982785]	[0.013647076..0.03070682]	[0.016578512..0.026687654]	[0.013647076..0.030982785]	
					PE 20:4 (5z-8z)/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 40:5:0	1.7777354	1.6923647	1.7019742	[1.6923647..1.7777354]	Sum	[1.3377162..1.6818361]	[1.3042825..1.8708167]	[1.1923401..1.9410003]	[1.1923401..1.9410003]	
					PE 22:4 (7z-10z)/18:1	[0.03945647..0.044324216]	[0.045393392..0.05606184]	[0.044052828..0.053345393]	[0.03945647..0.05606184]	
					PE 18:1/22:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:5 (4z-7z)/18:0	[0.0..0.11257072]	[0.0..0.24945047]	[0.0..0.31170967]	[0.0..0.31170967]	
					PE 18:0/22:5 (4z-7z)	[1.2654752..1.5009428]	[1.2223155..1.5493819]	[1.1106676..1.5663803]	[1.1106676..1.5663803]	
					PE 20:1/20:4 (5z-8z)	[0.024176639..0.03311326]	[0.018218046..0.035314836]	[0.02709176..0.037017997]	[0.018218046..0.037017997]	
					PE 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.004343725]	[0.0..0.0015917738]	[0.0..0.004343725]	
PE 40:6:0	1.1826967	1.0756744	1.1445514	[1.0756744..1.1826967]	Sum	[1.2413121..1.2882117]	[1.1692199..1.4454958]	[1.2315118..1.4004128]	[1.1692199..1.4454958]	
					PE 22:5 (4z-7z)/18:1	[0.05326349..0.075841576]	[0.06713567..0.1401489]	[0.055785686..0.14861426]	[0.05326349..0.14861426]	
					PE 18:1/22:5 (4z-7z)	[0.043045595..0.06403842]	[0.0..0.04288556]	[0.0..0.0740099]	[0.0..0.0740099]	
					PE 22:6 (4z)/18:0	[0.53135896..0.68209416]	[0.7109481..1.1113411]	[0.69671744..0.8927471]	[0.53135896..1.1113411]	
					PE 18:0/22:6 (4z)	[0.4364734..0.5868921]	[0.11794532..0.4348184]	[0.27069187..0.4563189]	[0.11794532..0.5868921]	
					PE 20:2/20:4 (5z-8z)	[0.0115114935..0.027903464]	[0.0..0.029785952]	[0.021438988..0.030828496]	[0.0..0.030828496]	
					PE 20:4 (5z-8z)/20:2	[0.0..0.007952486]	[0.0..0.0]	[0.0..0.0]	[0.0..0.007952486]	
PE 40:7:0	0.070572	0.0	0.0	[0.0..0.070572]	Sum	[0.11935058..0.15395421]	[0.14050102..0.1715817]	[0.14205886..0.17000641]	[0.11935058..0.1715817]	
					PE 22:6 (4z)/18:1	[0.11993825..0.153246]	[0.14180733..0.17021173]	[0.14346771..0.1685053]	[0.11993825..0.17021173]	
					PE 18:1/22:6 (4z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
