Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 16:0-24:4	[0.16457649..0.16457649]	[0.2458059..0.2458059]	[0.22519715..0.22519715]	[0.16457649..0.2458059]	
					PE 18:0-22:4 (0z-10z)	[0.37797746..0.37797746]	[0.3824169..0.3824169]	[0.3930534..0.3930534]	[0.37797746..0.3930534]	
					PE 20:0-20:4 (0z-8z)	[0.014367394..0.014367394]	[0.007007583..0.007007583]	[0.011418561..0.011418561]	[0.007007583..0.014367394]	
PE 40:5:0	1.7777354	1.6923647	1.7019742	[1.6923647..1.7777354]	Sum	[0.7284435..0.7284435]	[0.82926464..0.82926464]	[0.8429847..0.8429847]	[0.7284435..0.8429847]	
					PE 18:1-22:4 (0z-10z)	[0.04417864..0.04417864]	[0.057761166..0.057761166]	[0.05448383..0.05448383]	[0.04417864..0.057761166]	
					PE 18:0-22:5 (0z-7z)	[0.6674607..0.6674607]	[0.75532764..0.75532764]	[0.76777..0.76777]	[0.6674607..0.76777]	
					PE 20:1-20:4 (0z-8z)	[0.016804488..0.016804488]	[0.016175715..0.016175715]	[0.020730779..0.020730779]	[0.016175715..0.020730779]	
PE 40:6:0	1.1826967	1.0756744	1.1445514	[1.0756744..1.1826967]	Sum	[0.8268184..0.8268184]	[0.93197405..0.93197405]	[0.9292427..0.9292427]	[0.8268184..0.93197405]	
					PE 18:1-22:5 (0z-7z)	[0.08688135..0.08688135]	[0.09390399..0.09390399]	[0.105668396..0.105668396]	[0.08688135..0.105668396]	
					PE 18:0-22:6	[0.72601897..0.72601897]	[0.8380699..0.8380699]	[0.80811435..0.80811435]	[0.72601897..0.8380699]	
					PE 20:2-20:4 (0z-8z)	[0.013918473..0.013918473]	[0.0..0.0]	[0.015459818..0.015459818]	[0.0..0.015459818]	
PE 40:7:0	0.070572	0.0	0.0	[0.0..0.070572]	Sum	[0.1335639..0.1335639]	[0.16629289..0.16629289]	[0.16744842..0.16744842]	[0.1335639..0.16744842]	
					PE 18:1-22:6	[0.13356395..0.13356395]	[0.16629286..0.16629286]	[0.16744842..0.16744842]	[0.13356395..0.16744842]	
