PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745.503682401,H74 C40 O10 P1 ,PG,34,2,0,PG 34:2:0,1.57,41921530.8,44761666.6,45168371.9,44732489.2,253.217357635,16,1,0.21,955305.8,918614.5,924340.7,820343.5,281.248710632,18,1,0.37,2597998.2,2664657.3,2528674.0,2772448.3,None, None, None, None, None
745.503682401,H74 C40 O10 P1 ,PG,34,2,0,PG 34:2:0,1.57,41921530.8,44761666.6,45168371.9,44732489.2,255.233013153,16,0,0.23,13257660.0,14653168.2,14170751.6,13517468.0,279.233055115,18,2,0.36,41538993.6,44573656.4,42495507.7,42925544.1,None, None, None, None, None
747.518483427,H76 C40 O10 P1 ,PG,34,1,0,PG 34:1:0,0.43,91021476.1,97692665.7,98646057.8,97368568.1,255.233020782,16,0,0.26,27322497.7,31430270.2,28175353.1,32706969.5,281.24874115,18,1,0.48,87603570.0,99127934.0,91242785.8,98260462.8,None, None, None, None, None
757.503407743,H74 C41 O10 P1 ,PG,35,3,0,PG 35:3:0,1.18,53796.8,53909.4,52851.0,49505.8,241.217163086,15,0,-0.59,1051.4,783.9,1154.2,1105.2,305.248733521,20,3,0.42,6541.1,6899.9,7427.0,7140.6,None, None, None, None, None
757.503407743,H74 C41 O10 P1 ,PG,35,3,0,PG 35:3:0,1.18,53796.8,53909.4,52851.0,49505.8,253.217323303,16,1,0.07,484.3,720.7,533.2,582.6,293.248891195,19,2,0.97,497.0,423.1,0.0,659.5,None, None, None, None, None
757.503407743,H74 C41 O10 P1 ,PG,35,3,0,PG 35:3:0,1.18,53796.8,53909.4,52851.0,49505.8,255.233032227,16,0,0.30,6052.2,7999.9,8639.2,7340.4,291.233230591,19,3,0.95,13980.5,14826.7,14500.5,14528.4,None, None, None, None, None
757.503407743,H74 C41 O10 P1 ,PG,35,3,0,PG 35:3:0,1.18,53796.8,53909.4,52851.0,49505.8,265.217514038,17,2,0.79,1087.1,1614.4,1203.1,1427.0,281.248748779,18,1,0.51,11936.9,14118.3,14591.8,14525.9,None, None, None, None, None
757.503407743,H74 C41 O10 P1 ,PG,35,3,0,PG 35:3:0,1.18,53796.8,53909.4,52851.0,49505.8,267.233161926,17,1,0.77,13886.4,14831.3,15528.2,15958.8,279.233078003,18,2,0.44,92696.8,100594.3,100817.0,100224.2,None, None, None, None, None
757.503407743,H74 C41 O10 P1 ,PG,35,3,0,PG 35:3:0,1.18,53796.8,53909.4,52851.0,49505.8,269.248840332,17,0,0.87,1221.8,1087.3,1444.3,1302.6,277.217414856,18,3,0.40,5051.1,4810.8,4550.7,5077.8,None, None, None, None, None
759.51869705,H76 C41 O10 P1 ,PG,35,2,0,PG 35:2:0,0.71,388841.5,396622.0,382540.0,365902.7,253.217315674,16,1,0.04,0.0,3572.8,3038.5,3663.6,295.264343262,19,1,0.30,3253.8,4122.9,3493.4,4069.5,None, None, None, None, None
759.51869705,H76 C41 O10 P1 ,PG,35,2,0,PG 35:2:0,0.71,388841.5,396622.0,382540.0,365902.7,255.233039856,16,0,0.33,13952.9,16420.0,17646.2,15321.4,293.248908997,19,2,1.04,20630.7,21513.7,22282.0,20284.3,None, None, None, None, None
759.51869705,H76 C41 O10 P1 ,PG,35,2,0,PG 35:2:0,0.71,388841.5,396622.0,382540.0,365902.7,265.217498779,17,2,0.73,3270.5,3833.2,3799.8,3409.2,283.264396667,18,0,0.50,2787.2,4660.5,5022.0,3313.4,None, None, None, None, None
759.51869705,H76 C41 O10 P1 ,PG,35,2,0,PG 35:2:0,0.71,388841.5,396622.0,382540.0,365902.7,267.233161926,17,1,0.77,38201.4,35559.6,36806.7,36734.5,281.248725891,18,1,0.43,142167.7,143746.7,153810.8,155626.7,None, None, None, None, None
759.51869705,H76 C41 O10 P1 ,PG,35,2,0,PG 35:2:0,0.71,388841.5,396622.0,382540.0,365902.7,269.248840332,17,0,0.87,93204.8,95375.2,97511.1,97414.3,279.233055115,18,2,0.36,370480.5,384233.5,388220.1,400043.3,None, None, None, None, None
761.534276273,H78 C41 O10 P1 ,PG,35,1,0,PG 35:1:0,0.61,592018.4,639734.9,628157.7,617309.2,255.233020782,16,0,0.26,73849.1,84255.7,78311.9,77446.8,295.264312744,19,1,0.19,132033.9,158918.4,146203.1,145824.2,None, None, None, None, None
761.534276273,H78 C41 O10 P1 ,PG,35,1,0,PG 35:1:0,0.61,592018.4,639734.9,628157.7,617309.2,267.233161926,17,1,0.77,31321.2,34249.8,33433.3,31624.9,283.264419556,18,0,0.58,15587.6,15959.3,17558.1,14269.2,None, None, None, None, None
761.534276273,H78 C41 O10 P1 ,PG,35,1,0,PG 35:1:0,0.61,592018.4,639734.9,628157.7,617309.2,269.248832703,17,0,0.84,138892.1,155527.1,149522.9,155416.5,281.248725891,18,1,0.43,473451.7,541154.4,498884.0,517299.0,None, None, None, None, None
