PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PGFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801.5660400390625,C44 H82 O10 P1 ,PG,38.0,2.0,0.0,PG 38:2:0,1.16,219672.0,247445.4,226139.5,221365.7,281.2487258911133,18.0,1.0,0.43,206025.1,210421.5,214222.1,225307.9,309.2800750732422,20.0,1.0,0.55,57756.8,61889.3,60761.5,65675.0,, None, None, None, None
801.5660400390625,C44 H82 O10 P1 ,PG,38.0,2.0,0.0,PG 38:2:0,1.16,219672.0,247445.4,226139.5,221365.7,279.2331008911133,18.0,2.0,0.52,125722.4,122801.8,130328.4,131917.7,311.2957077026367,20.0,0.0,0.49,14815.1,16782.4,15307.1,18268.2,, None, None, None, None
801.5660400390625,C44 H82 O10 P1 ,PG,38.0,2.0,0.0,PG 38:2:0,1.16,219672.0,247445.4,226139.5,221365.7,255.2330207824707,16.0,0.0,0.26,75002.4,105747.8,155807.5,137466.2,335.2958374023437,22.0,2.0,0.84,4543.0,5454.8,6308.3,6477.4,, None, None, None, None
803.5816192626953,C44 H84 O10 P1 ,PG,38.0,1.0,0.0,PG 38:1:0,1.07,22480.4,20993.7,20452.0,26972.5,337.3113098144531,22.0,1.0,0.31,0.0,0.0,6733.8,0.0,255.2330017089844,16.0,0.0,0.18,644101.7,678547.0,660260.9,710504.4,, None, None, None, None
803.5816192626953,C44 H84 O10 P1 ,PG,38.0,1.0,0.0,PG 38:1:0,1.07,22480.4,20993.7,20452.0,26972.5,311.2957534790039,20.0,0.0,0.64,12485.4,10586.5,11921.5,11695.7,281.24871826171875,18.0,1.0,0.4,247199.3,261755.7,254459.9,257711.6,, None, None, None, None
803.5816192626953,C44 H84 O10 P1 ,PG,38.0,1.0,0.0,PG 38:1:0,1.07,22480.4,20993.7,20452.0,26972.5,309.28004455566406,20.0,1.0,0.45,68823.2,71935.9,81017.7,83782.2,283.2643585205078,18.0,0.0,0.36,26368.8,30436.0,35626.2,36238.8,, None, None, None, None
803.5816192626953,C44 H84 O10 P1 ,PG,38.0,1.0,0.0,PG 38:1:0,1.07,22480.4,20993.7,20452.0,26972.5,283.2643585205078,18.0,0.0,0.36,26368.8,30436.0,35626.2,36238.8,309.28004455566406,20.0,1.0,0.45,68823.2,71935.9,81017.7,83782.2,, None, None, None, None
803.5816192626953,C44 H84 O10 P1 ,PG,38.0,1.0,0.0,PG 38:1:0,1.07,22480.4,20993.7,20452.0,26972.5,281.24871826171875,18.0,1.0,0.4,247199.3,261755.7,254459.9,257711.6,311.2957534790039,20.0,0.0,0.64,12485.4,10586.5,11921.5,11695.7,, None, None, None, None
803.5816192626953,C44 H84 O10 P1 ,PG,38.0,1.0,0.0,PG 38:1:0,1.07,22480.4,20993.7,20452.0,26972.5,255.2330017089844,16.0,0.0,0.18,644101.7,678547.0,660260.9,710504.4,337.3113098144531,22.0,1.0,0.31,0.0,0.0,6733.8,0.0,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,357.2801055908203,24.0,5.0,0.56,974.3,1137.2,1491.0,916.2,241.2172393798828,15.0,0.0,-0.27,728.1,0.0,0.0,506.8,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,343.26434326171875,23.0,5.0,0.26,0.0,641.5,0.0,0.0,255.23301696777344,16.0,0.0,0.24,74670.6,68836.4,77180.5,58061.2,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,331.2644729614258,22.0,4.0,0.66,14019.9,16052.2,14184.0,15603.5,267.23314666748047,17.0,1.0,0.72,1615.9,1427.2,1268.8,1581.9,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,329.24881744384766,22.0,5.0,0.64,47941.2,52994.9,51687.4,53636.5,269.2488250732422,17.0,0.0,0.82,6839.5,7121.4,8103.9,8131.2,, None, None, None, None
809.5345458984375,C45 H78 O10 P1 ,PG,39.0,5.0,0.0,PG 39:5:0,0.91,30500.1,0.0,0.0,0.0,317.24866739908856,21.0,4.0,0.2,547.8,1251.3,0.0,810.1,281.2487258911133,18.0,1.0,0.43,73565.2,78602.5,80212.2,80651.8,, None, None, None, None
