Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PG 31:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	25.0	694.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.99..1.002]	[687.555..695.889]	[0.548..0.55]	[0.61..0.78]	[0.997..0.999]	[692.4165..693.8055]	[0.55..0.55]	[0.611..0.78]	0.9540769	[655.98035..663.9316]
Group-1	PG 31:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	30.0	905.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.012..1.029]	[916.265..931.657]	[0.591..0.594]	[0.61..0.78]	[1.022..1.025]	[925.3188..928.035]	[0.594..0.594]	[0.611..0.78]	0.9540769	[874.1871..888.8721]
Group-1	PG 31:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	1060.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.016..1.044]	[1077.265..1106.953]	[0.617..0.621]	[0.61..0.78]	[1.033..1.038]	[1095.2899..1100.5914]	[0.62..0.621]	[0.611..0.78]	0.9540769	[1027.7936..1056.1185]
Group-1	PG 31:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	25.0	15456.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.995..1.0]	[15379.616..15456.9]	[0.141..0.142]	[0.0..0.0]	[0.995..0.995]	[15379.616..15379.616]	[0.141..0.141]	[0.0..0.0]	0.9540769	[14673.336..14747.071]
Group-1	PG 31:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	30.0	22671.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.006..1.014]	[22807.934..22989.309]	[0.133..0.134]	[0.0..0.0]	[1.006..1.006]	[22807.934..22807.934]	[0.133..0.133]	[0.0..0.0]	0.9540769	[21760.521..21933.568]
Group-1	PG 31:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	35.0	23393.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.009..1.021]	[23603.736..23884.457]	[0.135..0.136]	[0.0..0.0]	[1.009..1.009]	[23603.736..23603.736]	[0.135..0.135]	[0.0..0.0]	0.9540769	[22519.78..22787.607]
Group-1	PG 31:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	93515.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[93515.51..93515.51]	[0.858..0.859]	[1.0..1.0]	[1.0..1.0]	[93515.5..93515.5]	[0.859..0.859]	[1.0..1.0]	0.9540769	[89220.98..89220.98]
Group-1	PG 31:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	30.0	149166.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[149166.1..149166.1]	[0.866..0.867]	[1.0..1.0]	[1.0..1.0]	[149166.1..149166.1]	[0.867..0.867]	[1.0..1.0]	0.9540769	[142315.92..142315.92]
Group-1	PG 31:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	35.0	151583.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[151583.4..151583.4]	[0.864..0.865]	[1.0..1.0]	[1.0..1.0]	[151583.4..151583.4]	[0.865..0.865]	[1.0..1.0]	0.9540769	[144622.22..144622.22]
Group-1	PG 31:0:0	269.25	240116_PG_FTMSMS-_4.mzXML	25.0	566.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.001..1.004]	[567.067..568.766]	[0.45..0.452]	[0.22..0.39]	[1.002..1.002]	[567.633..567.633]	[0.45..0.45]	[0.22..0.389]	0.9540769	[541.0251..542.6465]
Group-1	PG 31:0:0	269.25	240116_PG_FTMSMS-_4.mzXML	30.0	641.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.987..0.993]	[633.062..636.91]	[0.406..0.409]	[0.22..0.39]	[0.988..0.989]	[633.7032..634.34467]	[0.406..0.406]	[0.22..0.389]	0.9540769	[603.9897..607.6613]
Group-1	PG 31:0:0	269.25	240116_PG_FTMSMS-_4.mzXML	35.0	682.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.981..0.989]	[669.533..674.993]	[0.379..0.383]	[0.22..0.39]	[0.983..0.984]	[670.89746..671.58]	[0.379..0.38]	[0.22..0.389]	0.9540769	[638.78546..643.99475]
Group-1	PG 32:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	25.0	2883.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.99..1.002]	[2854.368..2888.966]	[1.0..1.0]	[0.44..1.0]	[0.995..1.002]	[2868.784..2888.9663]	[1.0..1.0]	[0.435..1.0]	0.9381556	[2677.8413..2710.2998]
Group-1	PG 32:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	30.0	8241.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.012..1.029]	[8340.095..8480.195]	[0.518..0.52]	[0.44..1.0]	[1.019..1.029]	[8397.783..8480.195]	[0.52..0.521]	[0.435..1.0]	0.9381556	[7824.3057..7955.7427]
Group-1	PG 32:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	9667.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.016..1.044]	[9821.876..10092.558]	[0.472..0.475]	[0.44..1.0]	[1.028..1.044]	[9937.882..10092.558]	[0.475..0.477]	[0.435..1.0]	0.9381556	[9214.447..9468.389]
Group-1	PG 32:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	2004951.1	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[2004951.1..2004951.1]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[2004951.1..2004951.1]	[0.5..0.5]	[0.5..0.5]	0.9381556	[1880956.1..1880956.1]
