PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FACO1M,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FACO2M,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML
854.5918002,H85 C47 N1 O10 P1 ,PC,38,4,0,PC 38:4:0,0.16,297471.7,322230.9,311531.4,283.264384,18,0,0.45,79491.3,88951.5,82419.1,303.2331034,20,4,0.49,194012.8,211102.3,194576.1,None, None, None, None,259.2431641,8411.4,9302.9,9544.2
874.5609164,H81 C49 N1 O10 P1 ,PC,40,8,0,PC 40:8:0,0.64,866427.7,950369.9,927065.9,303.2331034,20,4,0.49,837827.3,940647,891242.2,303.2331034,20,4,0.49,837827.3,940647,891242.2,None, None, None, None,259.2431641,45687.5,50516.9,45870.8
878.592024,H85 C49 N1 O10 P1 ,PC,40,6,0,PC 40:6:0,0.41,650598.9,708527.5,688440.5,283.2643636,18,0,0.38,183452,209532,184373,327.2331645,22,6,0.64,279757.8,310113.8,270224.8,None, None, None, None,283.243276,92113.9,108157.4,89056.6
920.63955,H91 C52 N1 O10 P1 ,PC,43,6,0,PC 43:6:0,1.02,306237.4,333634.4,325578.9,325.311381,21,0,0.54,111617.4,123441.9,116106.8,327.2331441,22,6,0.58,115661.2,128590.9,117085.1,None, None, None, None,283.2432556,39151.5,42530.5,39033.3
922.5612216,H81 C53 N1 O10 P1 ,PC,44,12,0,PC 44:12:0,0.93,1106276.8,1208112.1,1178431,327.2331543,22,6,0.61,545228.5,616335,564069.2,327.2331543,22,6,0.61,545228.5,616335,564069.2,None, None, None, None,283.2432556,206558.8,238944.2,215300.2
#NCE,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.4354485,H65 C33 N1 O10 P1 ,PC,24,0,0,PC 24:0:0,0.43,306989.4,320853.6,315920.2,199.1695709,12,0,-3.94,246417,262973.5,255535,199.1695709,12,0,-3.94,246417,262973.5,255535,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25,0,0,PC 25:0:0,0,361510.9,376079,369443.1,199.169576,12,0,-3.91,85056,91001.8,85345.5,213.1834045,13,0,-2.82,220682.7,238495.1,223911.2,None, None, None, None, None, None, None, None
722.4981723,H73 C37 N1 O10 P1 ,PC,28,0,0,PC 28:0:0,0.57,477582.4,516289.9,498194.4,227.2012431,14,0,-1.81,464402.9,528559.2,477275.6,227.2012431,14,0,-1.81,464402.9,528559.2,477275.6,None, None, None, None, None, None, None, None
762.5295037,H77 C40 N1 O10 P1 ,PC,31,1,0,PC 31:1:0,0.58,612095.4,665195.1,645129.2,225.1855621,14,1,-1.97,478749.6,512720.5,486723.7,269.2487691,17,0,0.61,187946.7,208286.7,191283,None, None, None, None, None, None, None, None
778.560835,H81 C41 N1 O10 P1 ,PC,32,0,0,PC 32:0:0,0.61,630774.2,689343.4,672273.5,227.2012482,14,0,-1.79,339218.1,381839.3,357761.7,283.264384,18,0,0.45,374455.9,420320.5,388750.5,None, None, None, None, None, None, None, None
778.560835,H81 C41 N1 O10 P1 ,PC,32,0,0,PC 32:0:0,0.61,630774.2,689343.4,672273.5,255.2329254,16,0,-0.12,2708.4,2602.6,2940.5,255.2329254,16,0,-0.12,2708.4,2602.6,2940.5,None, None, None, None, None, None, None, None
806.5925733,H85 C43 N1 O10 P1 ,PC,34,0,0,PC 34:0:0,1.13,754935.5,822288.4,795712.8,255.2329356,16,0,-0.08,134568.2,154596.2,134889.7,283.264384,18,0,0.45,308277.1,372026.7,319686.8,None, None, None, None, None, None, None, None
806.5925733,H85 C43 N1 O10 P1 ,PC,34,0,0,PC 34:0:0,1.13,754935.5,822288.4,795712.8,269.2487691,17,0,0.61,427794.8,498586.9,450617.9,269.2487691,17,0,0.61,427794.8,498586.9,450617.9,None, None, None, None, None, None, None, None
822.5303175,H77 C45 N1 O10 P1 ,PC,36,6,0,PC 36:6:0,1.53,574835.9,624002.8,597508.7,275.2018127,18,4,0.57,0,0,1491.6,279.2330017,18,2,0.17,7625,3533.4,3932.6,None, None, None, None, None, None, None, None
822.5303175,H77 C45 N1 O10 P1 ,PC,36,6,0,PC 36:6:0,1.53,574835.9,624002.8,597508.7,277.2173564,18,3,0.18,609659.1,681984.6,620757,277.2173564,18,3,0.18,609659.1,681984.6,620757,None, None, None, None, None, None, None, None
826.5614454,H81 C45 N1 O10 P1 ,PC,36,4,0,PC 36:4:0,1.31,1105335.8,1211718.1,1166505.9,255.2329356,16,0,-0.08,395805.8,445923.7,398357,303.2331136,20,4,0.52,348586.5,385985.4,352195.8,None, None, None, None, None, None, None, None
826.5614454,H81 C45 N1 O10 P1 ,PC,36,4,0,PC 36:4:0,1.31,1105335.8,1211718.1,1166505.9,279.2330424,18,2,0.31,333119.5,378714.5,335494.4,279.2330424,18,2,0.31,333119.5,378714.5,335494.4,None, None, None, None, None, None, None, None
830.5924106,H85 C45 N1 O10 P1 ,PC,36,2,0,PC 36:2:0,0.9,539383.5,591655.5,572112.6,279.2330424,18,2,0.31,458290.8,513713.5,462724.7,283.2643636,18,0,0.38,180436,208961.7,188016.4,None, None, None, None, None, None, None, None
834.6236199,H89 C45 N1 O10 P1 ,PC,36,0,0,PC 36:0:0,0.79,797927.2,870678,848920.1,283.2643738,18,0,0.42,964163.7,1091125.1,1018231.3,283.2643738,18,0,0.42,964163.7,1091125.1,1018231.3,None, None, None, None, None, None, None, None
840.5761549,H83 C46 N1 O10 P1 ,PC,37,4,0,PC 37:4:0,0.17,495812.2,540402.7,523380.3,269.2487793,17,0,0.65,146908.4,168900.4,153481.4,303.2331136,20,4,0.52,259844.9,300643.3,271589.4,None, None, None, None, None, None, None, None
850.5606316,H81 C47 N1 O10 P1 ,PC,38,6,0,PC 38:6:0,0.32,875746.8,964868.8,930767.3,255.2329356,16,0,-0.08,556585.1,631257.8,564581.7,327.2331645,22,6,0.64,112601.7,121885.4,110876.9,None, None, None, None, None, None, None, None
854.5918002,H85 C47 N1 O10 P1 ,PC,38,4,0,PC 38:4:0,0.16,297471.7,322230.9,311531.4,283.264384,18,0,0.45,97169.8,108719.1,97469.5,303.2331034,20,4,0.49,154092.9,171424.1,158956.4,None, None, None, None, None, None, None, None
874.5609164,H81 C49 N1 O10 P1 ,PC,40,8,0,PC 40:8:0,0.64,866427.7,950369.9,927065.9,303.2331238,20,4,0.56,633700,723447.1,645766.8,303.2331238,20,4,0.56,633700,723447.1,645766.8,None, None, None, None, None, None, None, None
878.592024,H85 C49 N1 O10 P1 ,PC,40,6,0,PC 40:6:0,0.41,650598.9,708527.5,688440.5,283.2643738,18,0,0.42,213853,240486.8,213242.7,327.2331645,22,6,0.64,126460.2,148199.2,134086.6,None, None, None, None, None, None, None, None
920.63955,H91 C52 N1 O10 P1 ,PC,43,6,0,PC 43:6:0,1.02,306237.4,333634.4,325578.9,325.3113709,21,0,0.51,132139.3,142704,135981.1,327.2331441,22,6,0.58,59251.9,66371.5,62705.6,None, None, None, None, None, None, None, None
922.5612216,H81 C53 N1 O10 P1 ,PC,44,12,0,PC 44:12:0,0.93,1106276.8,1208112.1,1178431,327.2331746,22,6,0.67,256389.1,290492.2,259263.6,327.2331746,22,6,0.67,256389.1,290492.2,259263.6,None, None, None, None, None, None, None, None
946.7484571,H105 C53 N1 O10 P1 ,PC,44,0,0,PC 44:0:0,0.31,1118559.9,1206007.1,1180651.7,339.3239246,22,0,0.2,1595843.5,1772025.6,1681798.1,339.3239246,22,0,0.2,1595843.5,1772025.6,1681798.1,None, None, None, None, None, None, None, None
###,PCCOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822.5303175,H77 C45 N1 O10 P1 ,PC,36,6,0,PC 36:6:0,1.53,574835.9,624002.8,597508.7,277.2173564,18,3,0.18,609659.1,681984.6,620757,277.2173564,18,3,0.18,609659.1,681984.6,620757,233.2271678,1553.8,1599.3,2099.6,233.2271678,1553.8,1599.3,2099.6
874.5609164,H81 C49 N1 O10 P1 ,PC,40,8,0,PC 40:8:0,0.64,866427.7,950369.9,927065.9,303.2331238,20,4,0.56,633700,723447.1,645766.8,303.2331238,20,4,0.56,633700,723447.1,645766.8,259.2431742,53735.8,60081.8,54531.3,259.2431742,53735.8,60081.8,54531.3
922.5612216,H81 C53 N1 O10 P1 ,PC,44,12,0,PC 44:12:0,0.93,1106276.8,1208112.1,1178431,327.2331746,22,6,0.67,256389.1,290492.2,259263.6,327.2331746,22,6,0.67,256389.1,290492.2,259263.6,283.2432454,153354.6,177995.2,154757.5,283.2432454,153354.6,177995.2,154757.5
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822.5303175,H77 C45 N1 O10 P1 ,PC,36,6,0,PC 36:6:0,1.53,574835.9,624002.8,597508.7,277.2173564,18,3,0.18,609659.1,681984.6,620757,277.2173564,18,3,0.18,609659.1,681984.6,620757,None, None, None, None,233.2271678,1553.8,1599.3,2099.6
826.5614454,H81 C45 N1 O10 P1 ,PC,36,4,0,PC 36:4:0,1.31,1105335.8,1211718.1,1166505.9,255.2329356,16,0,-0.08,395805.8,445923.7,398357,303.2331136,20,4,0.52,348586.5,385985.4,352195.8,None, None, None, None,259.2431539,30341.8,33076.2,30121.3
840.5761549,H83 C46 N1 O10 P1 ,PC,37,4,0,PC 37:4:0,0.17,495812.2,540402.7,523380.3,269.2487793,17,0,0.65,146908.4,168900.4,153481.4,303.2331136,20,4,0.52,259844.9,300643.3,271589.4,None, None, None, None,259.2431641,23555.8,24471.1,23138.7
850.5606316,H81 C47 N1 O10 P1 ,PC,38,6,0,PC 38:6:0,0.32,875746.8,964868.8,930767.3,255.2329356,16,0,-0.08,556585.1,631257.8,564581.7,327.2331645,22,6,0.64,112601.7,121885.4,110876.9,None, None, None, None,283.2432556,59287.1,68296.3,60167.4
854.5918002,H85 C47 N1 O10 P1 ,PC,38,4,0,PC 38:4:0,0.16,297471.7,322230.9,311531.4,283.264384,18,0,0.45,97169.8,108719.1,97469.5,303.2331034,20,4,0.49,154092.9,171424.1,158956.4,None, None, None, None,259.2431641,12941.2,13458.4,13702.8
874.5609164,H81 C49 N1 O10 P1 ,PC,40,8,0,PC 40:8:0,0.64,866427.7,950369.9,927065.9,303.2331238,20,4,0.56,633700,723447.1,645766.8,303.2331238,20,4,0.56,633700,723447.1,645766.8,None, None, None, None,259.2431742,53735.8,60081.8,54531.3
878.592024,H85 C49 N1 O10 P1 ,PC,40,6,0,PC 40:6:0,0.41,650598.9,708527.5,688440.5,283.2643738,18,0,0.42,213853,240486.8,213242.7,327.2331645,22,6,0.64,126460.2,148199.2,134086.6,None, None, None, None,283.2432963,72648,79879,73080.4
920.63955,H91 C52 N1 O10 P1 ,PC,43,6,0,PC 43:6:0,1.02,306237.4,333634.4,325578.9,325.3113709,21,0,0.51,132139.3,142704,135981.1,327.2331441,22,6,0.58,59251.9,66371.5,62705.6,None, None, None, None,283.2432658,31311.1,36324.7,32250.2
922.5612216,H81 C53 N1 O10 P1 ,PC,44,12,0,PC 44:12:0,0.93,1106276.8,1208112.1,1178431,327.2331746,22,6,0.67,256389.1,290492.2,259263.6,327.2331746,22,6,0.67,256389.1,290492.2,259263.6,None, None, None, None,283.2432454,153354.6,177995.2,154757.5
#NCE,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666.4354485,H65 C33 N1 O10 P1 ,PC,24,0,0,PC 24:0:0,0.43,306989.4,320853.6,315920.2,199.1695811,12,0,-3.89,237873,250360.4,232487.1,199.1695811,12,0,-3.89,237873,250360.4,232487.1,None, None, None, None, None, None, None, None
680.450809,H67 C34 N1 O10 P1 ,PC,25,0,0,PC 25:0:0,0,361510.9,376079,369443.1,199.169576,12,0,-3.91,81349.2,86202.9,80335.3,213.1834045,13,0,-2.82,203242.7,214865.2,201627.8,None, None, None, None, None, None, None, None
722.4981723,H73 C37 N1 O10 P1 ,PC,28,0,0,PC 28:0:0,0.57,477582.4,516289.9,498194.4,227.2012533,14,0,-1.77,428295.4,489840.3,437339,227.2012533,14,0,-1.77,428295.4,489840.3,437339,None, None, None, None, None, None, None, None
762.5295037,H77 C40 N1 O10 P1 ,PC,31,1,0,PC 31:1:0,0.58,612095.4,665195.1,645129.2,225.1855621,14,1,-1.97,417072,465649.8,424463.5,269.248759,17,0,0.57,187429.7,209587.7,190526.4,None, None, None, None, None, None, None, None
778.560835,H81 C41 N1 O10 P1 ,PC,32,0,0,PC 32:0:0,0.61,630774.2,689343.4,672273.5,227.2012482,14,0,-1.79,327038.1,366110.3,333205.7,283.264384,18,0,0.45,367570.4,414599.5,374541.2,None, None, None, None, None, None, None, None
778.560835,H81 C41 N1 O10 P1 ,PC,32,0,0,PC 32:0:0,0.61,630774.2,689343.4,672273.5,255.2329458,16,0,-0.04,1768.1,3352.1,2517.2,255.2329458,16,0,-0.04,1768.1,3352.1,2517.2,None, None, None, None, None, None, None, None
806.5925733,H85 C43 N1 O10 P1 ,PC,34,0,0,PC 34:0:0,1.13,754935.5,822288.4,795712.8,255.2329458,16,0,-0.04,127166.8,151402.2,131756.7,283.2643941,18,0,0.49,295352.8,334365.9,311486.1,None, None, None, None, None, None, None, None
