Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 18:2/18:1	[0.094111234..0.11518295]	[0.09642631..0.11092826]	[0.08699446..0.11257366]	[0.08699446..0.11518295]	
PC 36:4:0	1.8896172	1.8589946	1.9047978	[1.8589946..1.9047978]	Sum	[1.9660827..2.167719]	[1.8834807..2.0553975]	[1.986998..2.0537615]	[1.8834807..2.167719]	
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:4 (5z-8z)	[1.9656526..2.1598506]	[1.8841031..2.0434859]	[1.9796507..2.0488777]	[1.8841031..2.1598506]	
					PC 18:2/18:2	[0.003728164..0.005394438]	[0.0057083974..0.007231524]	[0.0..0.0062672975]	[0.0..0.007231524]	
PC 38:1:0	0.44705096	0.42610666	0.45957857	[0.42610666..0.45957857]	Sum	[0.46488395..0.495076]	[0.49534413..0.5066127]	[0.4974453..0.5211092]	[0.46488395..0.5211092]	
					PC 22:1/16:0	[0.010168391..0.02253654]	[0.016245026..0.025881285]	[0.0075649535..0.02282151]	[0.0075649535..0.025881285]	
					PC 16:0/22:1	[0.039008565..0.05431044]	[0.036610164..0.049571566]	[0.04179327..0.06146407]	[0.036610164..0.06146407]	
					PC 20:0/18:1	[0.062289793..0.08280861]	[0.07976968..0.09918192]	[0.09070987..0.101712115]	[0.062289793..0.101712115]	
					PC 18:1/20:0	[0.0038751718..0.011554689]	[2.6211285E-4..0.008654791]	[0.0..2.0342425E-4]	[0.0..0.011554689]	
					PC 20:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:1	[0.32522258..0.3535385]	[0.33707923..0.35004923]	[0.3338734..0.35752702]	[0.32522258..0.35752702]	
PC 38:2:0	0.47526896	0.48191026	0.48374525	[0.47526896..0.48374525]	Sum	[0.46062785..0.4799928]	[0.48717144..0.50677717]	[0.52682006..0.53983426]	[0.46062785..0.53983426]	
					PC 22:1/16:1	[0.0..9.032734E-4]	[0.0..0.001611927]	[0.0..0.0]	[0.0..0.001611927]	
					PC 16:1/22:1	[0.007083085..0.008769644]	[0.004831895..0.012211567]	[0.0067970315..0.010715933]	[0.004831895..0.012211567]	
					PC 22:2/16:0	[0.0060907607..0.016003156]	[0.004668956..0.016988086]	[0.007381694..0.021198751]	[0.004668956..0.021198751]	
					PC 16:0/22:2	[0.014183577..0.025244413]	[0.017670704..0.031960003]	[0.0144997565..0.029375413]	[0.014183577..0.031960003]	
					PC 20:1/18:1	[0.2377433..0.26196486]	[0.25835124..0.29037422]	[0.28320736..0.34477755]	[0.2377433..0.34477755]	
					PC 18:1/20:1	[0.07531813..0.09321866]	[0.060024537..0.092471406]	[0.032431204..0.09392736]	[0.032431204..0.09392736]	
					PC 20:2/18:0	[0.0..0.0]	[0.0..0.003441162]	[0.0..0.013092894]	[0.0..0.013092894]	
					PC 18:0/20:2	[0.09197117..0.101245426]	[0.099049196..0.10427764]	[0.09631075..0.11586633]	[0.09197117..0.11586633]	
PC 38:3:0	-2.1020713E-5	-2.4865443E-5	-1.9896612E-5	[-2.4865443E-5..-1.9896612E-5]	Sum	[0.29027548..0.35495883]	[0.29830983..0.36928487]	[0.30998304..0.36399192]	[0.29027548..0.36928487]	
					PC 22:3 (13z)/16:0	[0.007430791..0.01846993]	[0.005499445..0.02110568]	[0.010416078..0.020892179]	[0.005499445..0.02110568]	
					PC 16:0/22:3 (13z)	[0.019768037..0.032904763]	[0.01822772..0.03752617]	[0.020066267..0.031952742]	[0.01822772..0.03752617]	
					PC 20:1/18:2	[0.0077545964..0.011331559]	[0.005437711..0.012792649]	[0.0067109..0.012327818]	[0.005437711..0.012792649]	
					PC 18:2/20:1	[0.0..0.0012917977]	[0.0..0.0014455692]	[0.0..0.0]	[0.0..0.0014455692]	
					PC 20:2/18:1	[0.04076786..0.058705527]	[0.04579072..0.060281243]	[0.052537724..0.068668224]	[0.04076786..0.068668224]	
					PC 18:1/20:2	[0.005406292..0.016986854]	[0.0054995175..0.0139213065]	[0.0..0.007828177]	[0.0..0.016986854]	
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:3 (5z-11z)	[0.18430054..0.24679019]	[0.19461855..0.26310384]	[0.18901648..0.24574834]	[0.18430054..0.26310384]	
PC 38:4:0	2.4257202	2.3959553	2.4718766	[2.3959553..2.4718766]	Sum	[2.3467867..2.624002]	[2.4314024..2.6758466]	[2.331773..2.7027597]	[2.331773..2.7027597]	
					PC 22:4 (7z-10z)/16:0	[0.0..0.0684981]	[0.0074976436..0.07478373]	[0.0..0.08469597]	[0.0..0.08469597]	
					PC 16:0/22:4 (7z-10z)	[0.31968698..0.45064545]	[0.32950172..0.44462317]	[0.30849957..0.45291957]	[0.30849957..0.45291957]	
					PC 20:3 (5z-11z)/18:1	[0.0012575772..0.027455727]	[0.011884432..0.031512246]	[0.013965865..0.04209665]	[0.0012575772..0.04209665]	
