Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 40:4:0	1.2477089	1.1385146	1.356623	[1.1385146..1.356623]	Sum	[1.1764438..1.3698101]	[1.1021411..1.5184913]	[1.1668888..1.4426501]	[1.1021411..1.5184913]	
					PC 24:4 (9z)/16:0	[0.010793843..0.058028996]	[0.0057758573..0.03652371]	[0.0..0.029002067]	[0.0..0.058028996]	
					PC 16:0/24:4 (9z)	[0.070863925..0.13305639]	[0.10369039..0.1422346]	[0.0980258..0.15184328]	[0.070863925..0.15184328]	
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.08025538]	[0.0..0.0]	[0.0..0.08025538]	
					PC 18:0/22:4 (7z-10z)	[1.0292984..1.2409252]	[0.95844454..1.2944416]	[1.0435183..1.3101933]	[0.95844454..1.3101933]	
PC 40:5:0	1.0537984	1.0690328	1.1664584	[1.0537984..1.1664584]	Sum	[1.025115..1.2533923]	[0.9770439..1.264614]	[0.93888754..1.3071973]	[0.93888754..1.3071973]	
					PC 22:4 (7z-10z)/18:1	[0.02556977..0.09559135]	[0.04569662..0.11549853]	[0.057467192..0.15441686]	[0.02556977..0.15441686]	
					PC 18:1/22:4 (7z-10z)	[0.08654384..0.18559909]	[0.07627556..0.15247469]	[0.044151623..0.13872744]	[0.044151623..0.18559909]	
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:5 (4z-7z)	[0.8111116..0.85922235]	[0.7480324..0.9086443]	[0.7439114..0.9128881]	[0.7439114..0.9128881]	
					PC 20:1/20:4 (5z-8z)	[0.07302573..0.114560105]	[0.076433286..0.12212582]	[0.07992389..0.10964848]	[0.07302573..0.12212582]	
					PC 20:4 (5z-8z)/20:1	[0.0..0.016267534]	[0.0..0.0]	[0.0..0.0]	[0.0..0.016267534]	
PC 40:6:0	2.295749	2.2478042	2.5275578	[2.2478042..2.5275578]	Sum	[2.162269..2.4922585]	[2.642898..2.844619]	[2.2025642..2.7053916]	[2.162269..2.844619]	
					PC 22:5 (4z-7z)/18:1	[0.3348526..0.43349037]	[0.33659387..0.430109]	[0.34899077..0.43466407]	[0.3348526..0.43466407]	
					PC 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.009462398]	[0.0..0.0]	[0.0..0.009462398]	
					PC 22:6 (4z)/18:0	[0.0..0.11117349]	[0.0..0.0]	[0.0..0.13580757]	[0.0..0.13580757]	
					PC 18:0/22:6 (4z)	[1.7190081..2.0587683]	[2.2944672..2.442701]	[1.7514497..2.3018231]	[1.7190081..2.442701]	
PC 40:7:0	0.46947023	0.5165681	0.54463655	[0.46947023..0.54463655]	Sum	[0.45121765..0.56461143]	[0.4680778..0.5940818]	[0.41311818..0.5942799]	[0.41311818..0.5942799]	
					PC 22:6 (4z)/18:1	[0.115084425..0.34873983]	[0.156517..0.39206126]	[0.081307136..0.40300417]	[0.081307136..0.40300417]	
					PC 18:1/22:6 (4z)	[0.17081429..0.41759214]	[0.1583971..0.39442658]	[0.13108702..0.47370663]	[0.13108702..0.47370663]	
