PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_brain_01.mzXML,PRI:20180509_PC_brain_02.mzXML,PRI:20180509_PC_brain_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_brain_01.mzXML,FA1I:20180509_PC_brain_02.mzXML,FA1I:20180509_PC_brain_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_brain_01.mzXML,FA2I:20180509_PC_brain_02.mzXML,FA2I:20180509_PC_brain_03.mzXML,FACO1M,FACO1I:20180509_PC_brain_01.mzXML,FACO1I:20180509_PC_brain_02.mzXML,FACO1I:20180509_PC_brain_03.mzXML,FACO2M,FACO2I:20180509_PC_brain_01.mzXML,FACO2I:20180509_PC_brain_02.mzXML,FACO2I:20180509_PC_brain_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854.592085042,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.5,207714.0,173442.3,223624.9,255.232879639,16.0,0.0,-0.3,13608.7,11773.0,12218.3,331.264404297,22.0,4.0,0.45,29415.6,24772.8,27291.2,None, None, None, None, None, None, None, None
854.592085042,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.5,207714.0,173442.3,223624.9,281.248667399,18.0,1.0,0.22,2919.1,2354.9,3574.0,305.248677572,20.0,3.0,0.24,3516.2,2979.2,2952.1,None, None, None, None, None, None, None, None
854.592085042,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.5,207714.0,173442.3,223624.9,283.264312744,18.0,0.0,0.2,47667.3,40334.9,43455.0,303.233032227,20.0,4.0,0.25,135889.7,116466.4,122698.1,None, None, None, None, None, None, None, None
856.601932047,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-6.28,-1.8,-1.8,-1.8,255.232849121,16.0,0.0,-0.42,1654.8,1395.5,1685.0,333.280029297,22.0,3.0,0.37,2548.6,2474.5,2408.2,None, None, None, None, None, None, None, None
856.601932047,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-6.28,-1.8,-1.8,-1.8,279.232889811,18.0,2.0,-0.23,748.9,599.3,726.2,309.279907227,20.0,1.0,0.01,390.8,0.0,0.0,None, None, None, None, None, None, None, None
856.601932047,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-6.28,-1.8,-1.8,-1.8,281.248626709,18.0,1.0,0.08,3957.8,4104.7,4112.8,307.264383952,20.0,2.0,0.42,2459.2,2276.9,1986.0,None, None, None, None, None, None, None, None
856.601932047,H87 C47 N1 O10 P1 ,PC,38.0,3.0,0.0,PC 38:3:0,-6.28,-1.8,-1.8,-1.8,283.264312744,18.0,0.0,0.2,4940.9,4484.6,4705.9,305.248677572,20.0,3.0,0.24,16095.0,14725.8,15449.1,None, None, None, None, None, None, None, None
858.623477457,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,0.6,40697.2,34885.3,43763.3,253.217376709,16.0,1.0,0.28,0.0,325.0,0.0,337.311442057,22.0,1.0,0.7,974.5,565.1,670.5,None, None, None, None, None, None, None, None
858.623477457,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,0.6,40697.2,34885.3,43763.3,255.23289998400003,16.0,0.0,-0.22,1327.6,983.1,1383.4,335.29575602200003,22.0,2.0,0.6,2231.7,1871.6,2299.5,None, None, None, None, None, None, None, None
858.623477457,H89 C47 N1 O10 P1 ,PC,38.0,2.0,0.0,PC 38:2:0,0.6,40697.2,34885.3,43763.3,281.248636882,18.0,1.0,0.11,24702.4,20399.6,24293.6,309.280049642,20.0,1.0,0.47,15396.8,12514.2,14566.4,None, None, None, None, None, None, None, None
