Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 38:3:0	0.63840216	0.6432505	0.6999834	[0.63840216..0.6999834]	Sum	[0.5825379..0.74162716]	[0.545562..0.7397707]	[0.6127593..0.804948]	[0.545562..0.804948]
					PC 22:3 (13z)/16:0	[0.0..0.0031891018]	[0.0..0.0074685807]	[0.0..0.013215625]	[0.0..0.013215625]
					PC 16:0/22:3 (13z)	[0.0..0.0]	[0.0..0.0074685807]	[0.0..0.013215625]	[0.0..0.013215625]
					PC 20:1/18:2	[0.044131447..0.069436185]	[0.039021317..0.045242477]	[0.047228772..0.05581648]	[0.039021317..0.069436185]
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:1	[0.016352605..0.021187313]	[0.0068313456..0.027157849]	[0.01258826..0.023602841]	[0.0068313456..0.027157849]
					PC 18:1/20:2	[0.0047205733..0.007392792]	[0.0..0.01023851]	[0.004011643..0.01297299]	[0.0..0.01297299]
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:3 (5z-11z)	[0.49893418..0.6525046]	[0.490883..0.66493154]	[0.5278754..0.7167382]	[0.490883..0.7167382]
PC 38:4:0	1.2834537	1.3239073	1.3826375	[1.2834537..1.3826375]	Sum	[1.2405438..1.3610878]	[1.2419819..1.3578889]	[1.2856898..1.4797566]	[1.2405438..1.4797566]
					PC 22:4 (7z-10z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0058382186]	[0.0..0.0058382186]
					PC 16:0/22:4 (7z-10z)	[0.19631763..0.24424237]	[0.19544221..0.23255841]	[0.21896213..0.2653736]	[0.19544221..0.2653736]
