Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 18:2/20:4 (5z-8z)	[0.0..0.042114213]	[0.01944717..0.04838946]	[0.007945055..0.043154832]	[0.0..0.04838946]	
PE 40:4:0	-3.5877129E-6	-4.139409E-6	-4.285598E-6	[-4.285598E-6..-3.5877129E-6]	Sum	[0.46845642..0.71662265]	[0.4896134..0.7914329]	[0.49883717..0.806229]	[0.46845642..0.806229]	
					PE 24:4 (9z)/16:0	[0.14056706..0.15060191]	[0.20350483..0.22562265]	[0.17943756..0.20874353]	[0.14056706..0.22562265]	
					PE 16:0/24:4 (9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:4 (7z-10z)/18:0	[0.13019204..0.24889356]	[0.11308029..0.25807783]	[0.14390633..0.29221028]	[0.11308029..0.29221028]	
					PE 18:0/22:4 (7z-10z)	[0.16733506..0.29177576]	[0.13991289..0.29665178]	[0.1447036..0.29312772]	[0.13991289..0.29665178]	
					PE 20:0/20:4 (5z-8z)	[0.02189549..0.03099874]	[0.013643871..0.030724468]	[0.016579252..0.026707634]	[0.013643871..0.03099874]	
					PE 20:4 (5z-8z)/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 40:5:0	1.7777354	1.6923647	1.7019742	[1.6923647..1.7777354]	Sum	[1.3663682..1.6661791]	[1.3273782..1.8581983]	[1.1916637..1.9481865]	[1.1916637..1.9481865]	
					PE 22:4 (7z-10z)/18:1	[0.03936326..0.044374153]	[0.044398636..0.056119617]	[0.04484771..0.053408545]	[0.03936326..0.056119617]	
					PE 18:1/22:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:5 (4z-7z)/18:0	[0.0..0.09609742]	[0.0..0.23691955]	[0.0..0.31809103]	[0.0..0.31809103]	
					PE 18:0/22:5 (4z-7z)	[1.2940342..1.5015221]	[1.2459829..1.5484937]	[1.1092752..1.566951]	[1.1092752..1.566951]	
					PE 20:1/20:4 (5z-8z)	[0.02418403..0.03313108]	[0.018240528..0.03531246]	[0.026904555..0.036976747]	[0.018240528..0.036976747]	
					PE 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0043081194]	[0.0..0.0017748838]	[0.0..0.0043081194]	
PE 40:6:0	1.1826967	1.0756744	1.1445514	[1.0756744..1.1826967]	Sum	[1.2298429..1.2972083]	[1.1671633..1.4443793]	[1.2296803..1.4014647]	[1.1671633..1.4443793]	
					PE 22:5 (4z-7z)/18:1	[0.053126223..0.08447738]	[0.06689614..0.14017177]	[0.05560716..0.14864089]	[0.053126223..0.14864089]	
					PE 18:1/22:5 (4z-7z)	[0.035095505..0.06338941]	[0.0..0.043313075]	[0.0..0.07432044]	[0.0..0.07432044]	
					PE 22:6 (4z)/18:0	[0.5283474..0.68821067]	[0.70683646..1.1167946]	[0.6934346..0.8964274]	[0.5283474..1.1167946]	
					PE 18:0/22:6 (4z)	[0.43025753..0.5895747]	[0.1112613..0.4377636]	[0.26688105..0.45874617]	[0.1112613..0.5895747]	
					PE 20:2/20:4 (5z-8z)	[0.011504812..0.027913764]	[0.0..0.029751383]	[0.021464286..0.030847685]	[0.0..0.030847685]	
					PE 20:4 (5z-8z)/20:2	[0.0..0.007927509]	[0.0..0.0]	[0.0..0.0]	[0.0..0.007927509]	
PE 40:7:0	0.070572	0.0	0.0	[0.0..0.070572]	Sum	[0.119217716..0.15387666]	[0.14068417..0.1712934]	[0.14220034..0.16986406]	[0.119217716..0.1712934]	
					PE 22:6 (4z)/18:1	[0.11979431..0.15317886]	[0.141923..0.16999194]	[0.1436058..0.16834792]	[0.11979431..0.16999194]	
					PE 18:1/22:6 (4z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
