FA_C,FA_DB,FA_iso,CE,norm_Intensity
22,4,7,35,3.600252186
22,4,7,36,3.465608006
22,4,7,37,3.228076983
22,4,7,38,2.877810678
22,4,7,39,2.72641092
22,4,7,40,2.378868486
22,4,7,41,2.021064969
22,4,7,42,1.795610174
22,4,7,43,1.454645121
22,4,7,44,1.29681043
22,4,7,45,0.987487735
22,4,7,46,0.829533838
22,4,7,47,0.701831895
22,4,7,48,0.540681177
22,4,7,49,0.431342705
22,4,7,50,0.324710506
22,4,7,51,0.217104258
22,4,7,52,0.174239659
22,4,7,53,0.11267858
22,4,7,54,0.024756437
22,4,7,55,0.006471534
22,4,7,56,0.002926392
22,5,4,10,0.279673198
22,5,4,11,0.362273578
22,5,4,12,0.474089898
22,5,4,13,0.642335753
22,5,4,14,0.828327899
22,5,4,15,1.048281352
22,5,4,16,1.298997992
22,5,4,17,1.410953873
22,5,4,18,1.854104901
22,5,4,19,2.17778827
22,5,4,20,2.685521547
22,5,4,21,2.999969531
22,5,4,22,3.589058046
22,5,4,23,4.124565194
22,5,4,24,4.39317986
22,5,4,25,4.960826839
22,5,4,26,4.759258047
22,5,4,27,4.971803055
22,5,4,28,5.015118779
22,5,4,29,4.971040688
22,5,4,30,4.740442115
22,5,4,31,4.72044306
22,5,4,32,4.475553198
22,5,4,33,4.144390275
22,5,4,34,4.179798887
22,5,4,35,3.730155186
22,5,4,36,3.568671047
22,5,4,37,3.350492581
22,5,4,38,2.940300346
22,5,4,39,2.684847408
22,5,4,40,2.296900928
22,5,4,41,2.034638926
22,5,4,42,1.658679511
22,5,4,43,1.323213425
22,5,4,44,1.211374346
22,5,4,45,1.016784709
22,5,4,46,0.756040677
22,5,4,47,0.596648066
22,5,4,48,0.437228426
22,5,4,49,0.35882266
22,5,4,50,0.236858495
22,5,4,51,0.166164499
22,5,4,52,0.100510413
22,5,4,53,0.018659129
22,6,4,10,0.081782331
22,6,4,11,0.157713534
22,6,4,12,0.199282529
22,6,4,13,0.266282947
22,6,4,14,0.38675541
22,6,4,15,0.55185558
22,6,4,16,0.869742647
22,6,4,17,1.041046555
22,6,4,18,1.593559787
22,6,4,19,2.070139516
22,6,4,20,2.60536065
22,6,4,21,3.271382294
22,6,4,22,3.673640223
22,6,4,23,4.259127346
22,6,4,24,4.731151253
22,6,4,25,4.91833784
22,6,4,26,5.164566726
22,6,4,27,5.201167658
22,6,4,28,5.237303055
22,6,4,29,5.348473981
22,6,4,30,5.066924391
22,6,4,31,5.042905145
22,6,4,32,4.93229194
22,6,4,33,4.8222789
22,6,4,34,4.510778682
22,6,4,35,4.211241437
22,6,4,36,3.907914142
22,6,4,37,3.531664748
22,6,4,38,3.288203928
22,6,4,39,2.87782374
22,6,4,40,2.566325973
22,6,4,41,2.180781127
22,6,4,42,1.937407767
22,6,4,43,1.641037507
22,6,4,44,1.35922557
22,6,4,45,1.074308518
22,6,4,46,0.883466174
22,6,4,47,0.69408433
22,6,4,48,0.543663592
22,6,4,49,0.415331161
22,6,4,50,0.299676012
22,6,4,51,0.247434979
22,6,4,52,0.156871803
22,6,4,53,0.101273549
22,6,4,54,0.035406131
22,6,4,55,0.004424873
24,0,0,10,0.008129485
24,0,0,11,0.050290355
24,0,0,12,0.086529821
24,0,0,13,0.174854098
24,0,0,14,0.207947292
24,0,0,15,0.33208189
24,0,0,16,0.45934711
24,0,0,17,0.600082114
24,0,0,18,0.782238965
24,0,0,19,1.036765848
24,0,0,20,1.365042185
24,0,0,21,1.794436389
24,0,0,22,2.238924927
24,0,0,23,2.832023427
24,0,0,24,3.256053835
24,0,0,25,3.866758531
24,0,0,26,4.150600053
24,0,0,27,4.495265093
24,0,0,28,4.530821169
24,0,0,29,4.626014336
24,0,0,30,4.697164451
24,0,0,31,4.645381475
24,0,0,32,4.554678359
24,0,0,33,4.518533894
24,0,0,34,4.27808031
24,0,0,35,4.15759587
24,0,0,36,3.801838522
24,0,0,37,3.523890035
24,0,0,38,3.380086494
24,0,0,39,3.063578775
24,0,0,40,2.723785714
24,0,0,41,2.435602803
24,0,0,42,2.0667973
24,0,0,43,1.768390662
24,0,0,44,1.483286452
24,0,0,45,1.257565248
24,0,0,46,1.000163217
24,0,0,47,0.879339658
24,0,0,48,0.670919131
24,0,0,49,0.53443652
24,0,0,50,0.417055074
24,0,0,51,0.295991958
24,0,0,52,0.248381049
24,0,0,53,0.172391459
24,0,0,54,0.112907866
24,0,0,55,0.043642907
24,0,0,56,0.033614708
24,0,0,57,0.007920729
24,5,9,10,0.229100836
24,5,9,11,0.321717558
24,5,9,12,0.408480681
24,5,9,13,0.532062674
24,5,9,14,0.6576107
24,5,9,15,0.832104668
24,5,9,16,1.009954077
24,5,9,17,1.39324832
24,5,9,18,1.718183222
