CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,sn_x
25,18,4,8,1,1.4224018,0
26,18,4,8,1,1.6268904,0
27,18,4,8,1,1.8084424,0
28,18,4,8,1,1.953764,0
29,18,4,8,1,2.0548344,0
30,18,4,8,1,2.1133173,0
31,18,4,8,1,2.131915301,0
32,18,4,8,1,2.113422199,0
33,18,4,8,1,2.0609965,0
34,18,4,8,1,1.9778885,0
35,18,4,8,1,1.8673922,0
36,18,4,8,1,1.7342106,0
37,18,4,8,1,1.5847102,0
38,18,4,8,1,1.4253535,0
39,18,4,8,1,1.2626029,0
40,18,4,8,1,1.102882,0
41,18,4,8,1,0.9514134,0
42,18,4,8,1,0.8120206,0
43,18,4,8,1,0.6884479,0
44,18,4,8,1,0.58408207,0
45,18,4,8,1,0.49588275,0
19,20,4,8,1,0.031727728,0
20,20,4,8,1,0.056736805,0
21,20,4,8,1,0.10145904,0
22,20,4,8,1,0.18143316,0
23,20,4,8,1,0.29954556,0
24,20,4,8,1,0.42048386,0
25,20,4,8,1,0.53294355,0
26,20,4,8,1,0.6319768,0
27,20,4,8,1,0.71776694,0
28,20,4,8,1,0.7921644,0
29,20,4,8,1,0.85702014,0
30,20,4,8,1,0.914038,0
31,20,4,8,1,0.9612655,0
32,20,4,8,1,0.99294084,0
33,20,4,8,1,1.0031242,0
34,20,4,8,1,0.985876,0
35,20,4,8,1,0.939398,0
36,20,4,8,1,0.8784215,0
37,20,4,8,1,0.8169194,0
38,20,4,8,1,0.7560643,0
39,20,4,8,1,0.69495857,0
40,20,4,8,1,0.6327047,0
41,20,4,8,1,0.568405,0
42,20,4,8,1,0.5012657,0
43,20,4,8,1,0.43201545,0
44,20,4,8,1,0.36253878,0
45,20,4,8,1,0.29474896,0
19,24,5,9,1,0.08224805,0
20,24,5,9,1,0.12358687,0
21,24,5,9,1,0.18570305,0
22,24,5,9,1,0.27903956,0
23,24,5,9,1,0.34809783,0
24,24,5,9,1,0.44575626,0
25,24,5,9,1,0.5474116,0
26,24,5,9,1,0.6541536,0
27,24,5,9,1,0.76052177,0
28,24,5,9,1,0.85832036,0
29,24,5,9,1,0.93935114,0
30,24,5,9,1,0.9970444,0
31,24,5,9,1,1.0285842,0
32,24,5,9,1,1.032607,0
33,24,5,9,1,1.0114452,0
34,24,5,9,1,0.9683537,0
35,24,5,9,1,0.9065966,0
36,24,5,9,1,0.8302497,0
37,24,5,9,1,0.7448319,0
38,24,5,9,1,0.6560108,0
39,24,5,9,1,0.5694539,0
40,24,5,9,1,0.48997605,0
41,24,5,9,1,0.41848856,0
42,24,5,9,1,0.354786,0
43,24,5,9,1,0.29865938,0
44,24,5,9,1,0.24899693,0
45,24,5,9,1,0.19509082,0
