CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var
50,16,0,0,1,19.1352808,1.740600695
51,16,0,0,1,16.8871599,0.928742235
52,16,0,0,1,14.7700369,0.458638159
53,16,0,0,1,13.0836694,1.301386913
54,16,0,0,1,10.7617797,0.347527444
55,16,0,0,1,9.6239686,0.514855042
56,16,0,0,1,8.0819506,0.564868065
57,16,0,0,1,6.97082238,0.151685263
58,16,0,0,1,5.69851758,0.295227581
59,16,0,0,1,4.92895501,0.206883608
60,16,0,0,1,4.24237065,0.192839361
61,16,0,0,1,3.3391002,0.04946781
62,16,0,0,1,2.74580653,0.03784937
63,16,0,0,1,2.20063247,0.01276386
64,16,0,0,1,1.87957369,0.028349948
65,16,0,0,1,1.47998325,0.042912435
66,16,0,0,1,1.307913447,0.037121176
67,16,0,0,1,0.94989638,0.014532311
68,16,0,0,1,0.745224511,0.01253522
69,16,0,0,1,0.615404498,0.02610969
70,16,0,0,1,0.46092867,0.005718683
11,18,1,9,1,3.516370357,0.089733549
12,18,1,9,1,4.613206926,0.099301964
13,18,1,9,1,6.162434769,0.125794973
14,18,1,9,1,8.363913594,0.400795397
15,18,1,9,1,11.2990668,1.22289114
16,18,1,9,1,14.9717927,1.747477651
17,18,1,9,1,19.95503383,2.258486912
18,18,1,9,1,25.38088306,3.966670233
19,18,1,9,1,30.91705751,6.709447373
20,18,1,9,1,37.1756074,10.52361696
21,18,1,9,1,43.14833634,11.44372599
22,18,1,9,1,50.08078906,12.29868854
23,18,1,9,1,54.40635314,15.16377001
24,18,1,9,1,57.94098331,19.12331825
25,18,1,9,1,60.06381606,16.18770564
26,18,1,9,1,60.9222522,18.97021908
27,18,1,9,1,62.47122217,27.28358714
28,18,1,9,1,62.12181163,22.87892441
29,18,1,9,1,61.62956677,33.54361707
30,18,1,9,1,61.15904474,20.11835955
31,18,1,9,1,60.61515986,22.97223665
32,18,1,9,1,59.84867091,16.61043125
33,18,1,9,1,58.77621103,13.99259409
34,18,1,9,1,57.74627309,25.88869384
35,18,1,9,1,55.21261009,29.37075352
36,18,1,9,1,53.28960883,21.82620187
37,18,1,9,1,51.3014744,13.85201033
38,18,1,9,1,48.55249383,9.223415279
39,18,1,9,1,46.48985137,14.48958505
40,18,1,9,1,43.12977783,10.49768626
41,18,1,9,1,40.27756489,11.89445786
42,18,1,9,1,36.50755771,16.60328343
43,18,1,9,1,33.71147786,10.0911166
44,18,1,9,1,30.85731354,7.456179801
45,18,1,9,1,27.77180277,8.060275373
46,18,1,9,1,25.70555937,5.544875929
47,18,1,9,1,22.09604314,3.982999561
48,18,1,9,1,19.09788451,3.566656076
