CE,FA_C,FA_DB,FA_iso,norm_Intensity
36,24,5,9,0.8302497
37,24,5,9,0.7448319
38,24,5,9,0.6560108
39,24,5,9,0.5694539
40,24,5,9,0.48997605
41,24,5,9,0.41848856
42,24,5,9,0.354786
43,24,5,9,0.29865938
44,24,5,9,0.24899693
45,24,5,9,0.19509082
