Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 18:0/20:4 (5z-8z)	[7.245769..7.6749263]	[7.6120424..7.8641005]	[7.02781..7.69324]	[7.02781..7.8641005]
PC 38:5:0	3.0524497	2.9240732	3.2294357	[2.9240732..3.2294357]	Sum	[2.77567..3.5270412]	[2.4302826..3.9968622]	[2.5854087..3.4809365]	[2.4302826..3.9968622]
					PC 22:5 (4z-7z)/16:0	[0.3629619..0.6529961]	[0.14589497..0.7964564]	[0.34826425..0.6210102]	[0.14589497..0.7964564]
					PC 16:0/22:5 (4z-7z)	[1.0040374..1.3910084]	[0.93563074..1.7638595]	[1.0321287..1.3919194]	[0.93563074..1.7638595]
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/20:4 (5z-8z)	[1.3225199..1.4830365]	[1.2799683..1.5314326]	[1.2050158..1.4680068]	[1.2050158..1.5314326]
PC 38:6:0	3.2468228	3.2511759	3.361479	[3.2468228..3.361479]	Sum	[3.2601492..3.5488114]	[3.4254472..3.8628042]	[3.12521..3.743568]	[3.12521..3.8628042]
					PC 22:6 (4z)/16:0	[0.32098183..0.6720799]	[0.29595223..0.6279182]	[0.43582392..0.8757012]	[0.29595223..0.8757012]
					PC 16:0/22:6 (4z)	[2.6262152..3.1870737]	[2.8769312..3.4994948]	[2.395464..3.194825]	[2.395464..3.4994948]
PC 40:2:0	0.34587198	0.3034406	0.36480466	[0.3034406..0.36480466]	Sum	[0.3173912..0.34399593]	[0.33837637..0.36436477]	[0.3111281..0.36572728]	[0.3111281..0.36572728]
					PC 22:1/18:1	[0.09660854..0.113918796]	[0.10474482..0.12748997]	[0.08494489..0.13601996]	[0.08494489..0.13601996]
					PC 18:1/22:1	[0.08443887..0.100431144]	[0.0930825..0.11539075]	[0.06325683..0.11090858]	[0.06325683..0.11539075]
					PC 22:2/18:0	[0.0..0.008243633]	[0.0..0.005874238]	[0.0..0.011136081]	[0.0..0.011136081]
					PC 18:0/22:2	[0.063435026..0.094754405]	[0.0771285..0.09629898]	[0.06605692..0.11248567]	[0.063435026..0.11248567]
					PC 20:1/20:1	[0.04342531..0.047870398]	[0.04164242..0.046706334]	[0.043980084..0.058522526]	[0.04164242..0.058522526]
PC 40:3:0	0.0	0.0	-7.666559E-5	[-7.666559E-5..0.0]	Sum	[0.15978587..0.17725065]	[0.17306805..0.20140147]	[0.16351826..0.18804073]	[0.15978587..0.20140147]
