Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 18:0-22:2	[0.123994045..0.123994045]	[0.12599586..0.12599586]	[0.102555394..0.102555394]	[0.102555394..0.12599586]
					PC 20:1/20:1	[0.05811395..0.05811395]	[0.055430662..0.055430662]	[0.06176659..0.06176659]	[0.055430662..0.06176659]
PC 40:3:0	0.0	0.0	-7.666559E-5	[-7.666559E-5..0.0]	Sum	[0.1934042..0.1934042]	[0.20739713..0.20739713]	[0.20297155..0.20297155]	[0.1934042..0.20739713]
					PC 18:1-22:2	[0.042310897..0.042310897]	[0.035781253..0.035781253]	[0.05613157..0.05613157]	[0.035781253..0.05613157]
					PC 18:0-22:3	[0.1510933..0.1510933]	[0.17161588..0.17161588]	[0.14683999..0.14683999]	[0.14683999..0.17161588]
PC 40:4:0	1.2477089	1.1385146	1.356623	[1.1385146..1.356623]	Sum	[1.1188272..1.1188272]	[1.121784..1.121784]	[1.1659323..1.1659323]	[1.1188272..1.1659323]
					PC 16:0-24:4	[0.14674123..0.14674123]	[0.14185815..0.14185815]	[0.15083215..0.15083215]	[0.14185815..0.15083215]
					PC 18:0-22:4 (0z-10z)	[0.97208595..0.97208595]	[0.9799259..0.9799259]	[1.0151001..1.0151001]	[0.97208595..1.0151001]
PC 40:5:0	1.0537984	1.0690328	1.1664584	[1.0537984..1.1664584]	Sum	[0.7145861..0.7145861]	[0.6832674..0.6832674]	[0.7285624..0.7285624]	[0.6832674..0.7285624]
					PC 18:1-22:4 (0z-10z)	[0.19718605..0.19718605]	[0.19275984..0.19275984]	[0.20924757..0.20924757]	[0.19275984..0.20924757]
					PC 18:0-22:5 (0z-7z)	[0.4380203..0.4380203]	[0.42910588..0.42910588]	[0.4514918..0.4514918]	[0.42910588..0.4514918]
					PC 20:1-20:4 (0z-8z)	[0.079379745..0.079379745]	[0.061401643..0.061401643]	[0.067823..0.067823]	[0.061401643..0.079379745]
PC 40:6:0	2.295749	2.2478042	2.5275578	[2.2478042..2.5275578]	Sum	[1.2639104..1.2639104]	[1.4874288..1.4874288]	[1.3356329..1.3356329]	[1.2639104..1.4874288]
					PC 18:1-22:5 (0z-7z)	[0.4108909..0.4108909]	[0.48281562..0.48281562]	[0.45827046..0.45827046]	[0.4108909..0.48281562]
					PC 18:0-22:6	[0.85301954..0.85301954]	[1.0046132..1.0046132]	[0.87736255..0.87736255]	[0.85301954..1.0046132]
PC 40:7:0	0.46947023	0.5165681	0.54463655	[0.46947023..0.54463655]	Sum	[0.3441895..0.3441895]	[0.36501533..0.36501533]	[0.32634187..0.32634187]	[0.32634187..0.36501533]
					PC 18:1-22:6	[0.3441895..0.3441895]	[0.36501533..0.36501533]	[0.32634187..0.32634187]	[0.32634187..0.36501533]
