Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 38:5:0	1.2994132	1.2859564	1.2912036	[1.2859564..1.2994132]	Sum	[0.74128985..0.94697744]	[0.6581719..1.0653932]	[0.7072186..0.9830853]	[0.6581719..1.0653932]
					PC 22:5 (4z-7z)/16:0	[0.09921402..0.17568699]	[0.038960394..0.21309368]	[0.09504686..0.17589584]	[0.038960394..0.21309368]
					PC 16:0/22:5 (4z-7z)	[0.27444914..0.37424734]	[0.24985468..0.47192457]	[0.28168437..0.3942493]	[0.24985468..0.47192457]
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/20:4 (5z-8z)	[0.3524613..0.40071118]	[0.34555224..0.41068262]	[0.32886803..0.41580042]	[0.32886803..0.41580042]
PC 38:6:0	1.3821568	1.4298104	1.3439977	[1.3439977..1.4298104]	Sum	[0.8871204..0.94777036]	[0.90301716..1.0465107]	[0.8826211..1.0240242]	[0.8826211..1.0465107]
					PC 22:6 (4z)/16:0	[0.08773895..0.17774124]	[0.0790323..0.16838814]	[0.124464095..0.23694125]	[0.0790323..0.23694125]
					PC 16:0/22:6 (4z)	[0.71786416..0.8428677]	[0.7682675..0.93845576]	[0.68410474..0.8644339]	[0.68410474..0.93845576]
PC 40:2:0	0.14723603	0.13344786	0.1458574	[0.13344786..0.14723603]	Sum	[0.08588323..0.09107147]	[0.08920286..0.09783504]	[0.08412727..0.09869919]	[0.08412727..0.09869919]
					PC 22:1/18:1	[0.026407516..0.030649569]	[0.027971487..0.03411023]	[0.023233134..0.03680335]	[0.023233134..0.03680335]
					PC 18:1/22:1	[0.023080988..0.02702075]	[0.024857134..0.030873053]	[0.017301269..0.030008884]	[0.017301269..0.030873053]
					PC 22:2/18:0	[0.0..0.002180148]	[0.0..0.0015716654]	[0.0..0.0030131247]	[0.0..0.0030131247]
					PC 18:0/22:2	[0.017244872..0.025059173]	[0.020596711..0.025765007]	[0.018067116..0.030435601]	[0.017244872..0.030435601]
					PC 20:1/20:1	[0.011776193..0.013013613]	[0.0110161975..0.012617052]	[0.01189983..0.016006399]	[0.0110161975..0.016006399]
PC 40:3:0	0.0	0.0	-3.0652685E-5	[-3.0652685E-5..0.0]	Sum	[0.042536657..0.048266437]	[0.04613257..0.054563675]	[0.044214405..0.051405776]	[0.042536657..0.054563675]
					PC 22:2/18:1	[0.0019083935..0.010138076]	[0.0019473803..0.008011937]	[0.0034251146..0.012163464]	[0.0019083935..0.012163464]
					PC 18:1/22:2	[0.0..0.00558608]	[0.002368828..0.0087013915]	[0.0..0.0077238]	[0.0..0.0087013915]
					PC 22:3 (13z)/18:0	[0.0..3.5236438E-4]	[0.0..0.011551646]	[0.0..0.0054201437]	[0.0..0.011551646]
					PC 18:0/22:3 (13z)	[0.034238312..0.039456088]	[0.029231835..0.044090252]	[0.030570593..0.03871531]	[0.029231835..0.044090252]
PC 40:4:0	0.53114367	0.50069886	0.54240954	[0.50069886..0.54240954]	Sum	[0.31420898..0.36751753]	[0.29850397..0.39065778]	[0.3182014..0.39613387]	[0.29850397..0.39613387]
					PC 24:4 (9z)/16:0	[0.003005678..0.015484187]	[0.0016296094..0.009797029]	[0.0..0.008398425]	[0.0..0.015484187]
					PC 16:0/24:4 (9z)	[0.019217156..0.035159584]	[0.027888542..0.037918866]	[0.026535565..0.043068845]	[0.019217156..0.043068845]
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.020575702]	[0.0..0.0]	[0.0..0.020575702]
					PC 18:0/22:4 (7z-10z)	[0.27431563..0.33420894]	[0.25875068..0.33186615]	[0.28390175..0.3550013]	[0.25875068..0.3550013]
PC 40:5:0	0.4485969	0.47014192	0.46637723	[0.4485969..0.47014192]	Sum	[0.272937..0.34147522]	[0.26593593..0.33688745]	[0.26311138..0.37044322]	[0.26311138..0.37044322]
					PC 22:4 (7z-10z)/18:1	[0.006936612..0.025885392]	[0.012177189..0.030926751]	[0.015829036..0.043763842]	[0.006936612..0.043763842]
					PC 18:1/22:4 (7z-10z)	[0.023477765..0.05025878]	[0.020325834..0.040827766]	[0.012051109..0.039141726]	[0.012051109..0.05025878]
					PC 22:5 (4z-7z)/18:0	[0.0..6.9911196E-4]	[0.0..0.0]	[0.0..0.0015506548]	[0.0..0.0015506548]
					PC 18:0/22:5 (4z-7z)	[0.2151834..0.2336341]	[0.20526491..0.24289854]	[0.20715502..0.2584425]	[0.20526491..0.2584425]
					PC 20:4 (5z-8z)/20:1	[0.0..0.0043128235]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0043128235]
					PC 20:1/20:4 (5z-8z)	[0.019610073..0.030805884]	[0.020625142..0.032272343]	[0.022815345..0.0303254]	[0.019610073..0.032272343]
PC 40:6:0	0.9772893	0.988545	1.0105765	[0.9772893..1.0105765]	Sum	[0.576648..0.6720776]	[0.7054843..0.7674078]	[0.6217125..0.74018055]	[0.576648..0.7674078]
					PC 22:5 (4z-7z)/18:1	[0.09138897..0.11652948]	[0.08961703..0.11513005]	[0.09893547..0.117729396]	[0.08961703..0.117729396]
					PC 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0027631212]	[0.0..0.0]	[0.0..0.0027631212]
					PC 22:6 (4z)/18:0	[0.0..0.031610332]	[0.0..0.0]	[0.0..0.0367546]	[0.0..0.0367546]
					PC 18:0/22:6 (4z)	[0.45590523..0.5545673]	[0.607353..0.66017413]	[0.4993436..0.6229593]	[0.45590523..0.66017413]
PC 40:7:0	0.19985121	0.22717763	0.2177584	[0.19985121..0.22717763]	Sum	[0.11900426..0.15458706]	[0.12474044..0.15911776]	[0.11664791..0.16253431]	[0.11664791..0.16253431]
					PC 22:6 (4z)/18:1	[0.030515058..0.09483169]	[0.04195435..0.10371694]	[0.022957979..0.10947633]	[0.022957979..0.10947633]
					PC 18:1/22:6 (4z)	[0.045229834..0.113342844]	[0.042714853..0.10465556]	[0.03704045..0.12843949]	[0.03704045..0.12843949]
